"player","age","nationality","position","team","top5","minutes_90s","Fantasista","Sacrificio","Prendi_Falli","Bomber","Torre"
"Michail Antonio",33,"jm JAM","FW","West Ham","True",18.8,-1.17925904800119,-0.490244621482718,0.00410210047481252,0.940034363223774,0.431868567930911
"Antony",23,"br BRA","FW","Manchester Utd","True",14.7,0.816865975984114,2.44302532419173,0.541237174147534,-1.97351340425202,-0.820392468833842
"Taiwo Awoniyi",25,"ng NGA","FW","Nott'ham Forest","True",11.6,-0.529286822650528,-0.757751963678583,0.655992565613616,1.69504464355918,0.502264727125104
"Jordan Ayew",31,"gh GHA","FW,MF","Crystal Palace","True",28.3,-0.69597491384931,1.55541255962338,1.63328855254274,-0.698441284222914,-0.383926973398971
"Jarrod Bowen",26,"eng ENG","FW","West Ham","True",33.5,-0.261869682418892,-0.0422155307724744,-0.282072638608423,1.14416394412041,-0.263999195919198
"Facundo Buonanotte",18,"ar ARG","FW,MF","Brighton","True",15.2,-0.453843751523136,1.01679501178142,0.944219023464597,-0.00181967177509879,-0.423426847768777
"Dominic Calvert-Lewin",26,"eng ENG","FW","Everton","True",24.1,-0.748722569284197,-1.10867490685909,-0.31824397120893,-0.69991198538265,2.08805558588558
"Matheus Cunha",24,"br BRA","FW,MF","Wolves","True",27.1,-0.387677691151074,0.67995477211616,0.566042372043629,0.703357564990695,-0.555180370966889
"Moussa Diaby",24,"fr FRA","FW,MF","Aston Villa","True",24.2,0.748326082888244,-0.489097041947828,-0.980178283945375,-0.126824959100666,-0.53581607546702
"Luis Díaz",26,"co COL","FW","Liverpool","True",29.2,1.78787886770676,0.620822504929568,0.295152841281762,-0.981644284572364,-0.317955012631608
"Abdoulaye Doucouré",30,"ml MLI","FW,MF","Everton","True",29.2,-0.356381349492985,0.740111076338142,-1.22614536716721,0.042930428203655,0.0984222931085326
"Odsonne Édouard",25,"fr FRA","FW,MF","Crystal Palace","True",17.3,-0.53490819787278,-0.873460536715914,-0.936037970795147,0.0453708872012581,0.488981505556613
"Anthony Elanga",21,"se SWE","FW,MF","Nott'ham Forest","True",27,-0.0263399215801941,0.0341253946151164,-0.510918423425693,-0.463255200039649,-0.252457088527657
"Evan Ferguson",18,"ie IRL","FW","Brighton","True",15.2,-1.21279963764703,-1.13833513097212,-0.129545017102519,0.936635984923615,0.0931113214703135
"Phil Foden",23,"eng ENG","FW,MF","Manchester City","True",31.7,1.64468896810692,0.555186657354859,0.253341656438696,1.34040244440829,-1.23073292088694
"Lyle Foster",22,"za RSA","FW,MF","Burnley","True",21.1,-0.647986601676971,-0.816515033057773,-1.18733440306243,0.46566816153894,0.630409326349166
"Cody Gakpo",24,"nl NED","FW,MF","Liverpool","True",18.3,0.437769517098516,0.810623026290545,0.4378399739394,-0.356717200689527,-0.0428013655985113
"Alejandro Garnacho",19,"ar ARG","FW","Manchester Utd","True",28.5,0.51049515712314,0.241149044471803,1.21501272064943,-1.18356651495731,-0.47896628943344
"Anthony Gordon",22,"eng ENG","FW","Newcastle Utd","True",32.1,0.715099202876096,0.550914476157437,1.22731704378762,0.0809083072480377,-0.717744314371708
"Jack Grealish",27,"eng ENG","FW,MF","Manchester City","True",11.2,2.29620133924991,0.622624386242601,1.78567790894004,0.16235830704224,-1.22836866680036
"Erling Haaland",23,"no NOR","FW","Manchester City","True",28.4,-0.763149734119642,-1.54931725173268,-0.183634127482393,1.32584785690494,0.4740349069823
"Hwang Hee-chan",27,"kr KOR","FW,MF","Wolves","True",23.5,-0.676452470742802,-0.387215534278015,-0.282731523771484,1.66720226865647,-0.133989767610269
"Son Heung-min",31,"kr KOR","FW","Tottenham","True",32.6,1.60544929757779,-0.601585664229646,-0.815928190030279,1.18413495623203,-0.847092968222691
"Callum Hudson-Odoi",22,"eng ENG","FW,MF","Nott'ham Forest","True",20.6,0.82844405960377,0.717580189780107,-0.700005829847711,1.06773646786545,-1.04542639647137
"Rasmus Højlund",20,"dk DEN","FW","Manchester Utd","True",24,-0.634133108909542,-1.02184651623142,-0.604085256179884,1.72983053040527,0.159970056560968
"Alexander Isak",23,"se SWE","FW","Newcastle Utd","True",25.1,-0.246296301426033,-1.37380636714766,-0.588583990316644,2.02707423298436,-0.102410577551135
"Nicolas Jackson",22,"sn SEN","FW","Chelsea","True",31.1,-0.248283858678959,-0.440970911368728,-0.138820480481371,0.624693614269364,0.102494401762109
"Gabriel Jesus",26,"br BRA","FW","Arsenal","True",16.4,0.535374571497079,0.128280935219859,-0.0445439238932788,-1.36292721225425,0.0729704185072941
"Raúl Jiménez",32,"mx MEX","FW","Fulham","True",15.5,-1.07668918744384,-0.538848030935469,-0.861788791126548,0.593834721874983,0.536571741801353
"João Pedro",21,"br BRA","FW,MF","Brighton","True",22.7,1.00366825094393,0.0758657245678832,1.24024595036045,-1.08653444864359,-0.078750555980822
"Diogo Jota",26,"pt POR","FW","Liverpool","True",12.7,0.645234962592011,0.140268519046268,0.569137644663136,1.30620231583278,0.0831759163067408
"Mohammed Kudus",22,"gh GHA","FW,MF","West Ham","True",27.6,-0.119626214235486,2.5738356228035,1.55169991570647,-0.118236663530884,-1.05662117714348
"Dejan Kulusevski",23,"se SWE","FW,MF","Tottenham","True",30.7,1.61754880836839,0.69285593047841,-1.29594990538405,0.143870801233323,-0.844872485483586
"Noni Madueke",21,"eng ENG","FW","Chelsea","True",11.7,0.932411495908827,0.960554057078536,1.65606278058711,-0.0632426144301892,-0.826371798100597
"Gabriel Martinelli",22,"br BRA","FW","Arsenal","True",22.4,1.22293618042668,0.454369215857268,-1.0573107171533,-0.481838359433174,-0.554866022409726
"Jean-Philippe Mateta",26,"fr FRA","FW","Crystal Palace","True",25.4,-0.546840878652035,-0.478922934724855,-0.494131411720768,2.47557489323606,0.111331021519771
"Bryan Mbeumo",23,"cm CMR","FW","Brentford","True",21.8,0.689068017681768,0.591992770288642,0.669516976532906,0.200727528952284,-0.279816886966802
"Oliver McBurnie",27,"sct SCO","FW","Sheffield Utd","True",14.2,-0.339048202035238,-0.433334507037076,0.15159485551698,0.276122517435162,2.39863107521722
"Carlton Morris",27,"eng ENG","FW,MF","Luton Town","True",31.8,-0.879823663130822,-0.948727297657412,-0.190199397742136,-0.413133094420438,1.41198815680111
"Mykhailo Mudryk",22,"ua UKR","FW","Chelsea","True",17.5,0.548044583993131,-0.0582555479610239,-0.240809294459157,0.351692408478087,-0.477536207182268
"Rodrigo Muniz",22,"br BRA","FW","Fulham","True",17.7,-1.01989698344835,-1.27525906750818,0.11778196834275,-0.0604296413779054,1.41000592562256
"Pedro Neto",23,"pt POR","FW,MF","Wolves","True",16.8,0.732058366942959,0.840380440278441,1.08557765829627,-1.24124358071108,-0.4346290011712
"Eddie Nketiah",24,"eng ENG","FW","Arsenal","True",12,-0.885731972376515,-1.01829713248037,0.346821427559375,-0.0828186693648541,0.677852768354243
"Darwin Núñez",24,"uy URU","FW","Liverpool","True",22.7,0.726417087910085,-0.714848465620606,-0.876661926936802,-0.402606814012828,0.059527837203911
"Lucas Paquetá",25,"br BRA","FW,MF","West Ham","True",29.1,0.818412720644152,2.29250056871144,0.23926068541541,-1.3501024315006,-0.416534672427895
"Marcus Rashford",25,"eng ENG","FW","Manchester Utd","True",25.2,0.1001619855441,-0.183218507004084,-0.0490903471254589,-0.595282751512555,-0.385684193583259
"Bobby Reid",30,"jm JAM","FW","Fulham","True",15.8,-0.409889574273274,0.300759625720354,-1.16382340733796,1.11484100354756,-0.359370154735949
"Richarlison",26,"br BRA","FW","Tottenham","True",16.6,-0.754319934199304,-0.608650156389853,-0.46993144888795,0.591553999951728,0.187129118360998
"Bukayo Saka",21,"eng ENG","FW","Arsenal","True",32.4,2.76735050696325,1.05936159644752,-0.363950579697942,-0.398787670244823,-0.818323782505233
"Mohamed Salah",31,"eg EGY","FW","Liverpool","True",28.2,1.95069823578261,-0.219805138344131,-0.379202060644261,0.169422401595885,-0.728508386884078
"Jeffrey Schlupp",30,"gh GHA","FW,MF","Crystal Palace","True",15,-0.637366681376233,0.440910161523427,-0.577184042763639,0.21783120429373,-0.158402727947457
"Antoine Semenyo",23,"gh GHA","FW","Bournemouth","True",23.4,-0.0354168582575102,0.662362099984292,-1.0261570066518,-0.0274160655013344,-0.0286689560647677
"Dominic Solanke",25,"eng ENG","FW","Bournemouth","True",36.9,-0.666980903665395,-0.717613617712965,-0.670132429106946,0.766239298140167,0.685773109512166
"Raheem Sterling",28,"eng ENG","FW,MF","Chelsea","True",22,0.731478207249225,0.425752246844946,0.66130505572519,0.341926306175088,-0.540183147694507
"Marcus Tavernier",24,"eng ENG","FW","Bournemouth","True",23.5,1.08494430286037,1.90028717074091,-0.334703501520745,-1.20392771486723,-0.987878207372023
"Leandro Trossard",28,"be BEL","FW,MF","Arsenal","True",18.3,0.67978049215189,0.686348763618357,-0.0944711568007168,1.00550194370877,-0.925479323413215
"Ollie Watkins",27,"eng ENG","FW","Aston Villa","True",35.7,-0.215685501438618,-1.31005442899364,-0.691438486422744,1.09194528807628,0.0517434733241934
"Danny Welbeck",32,"eng ENG","FW,MF","Brighton","True",18.8,0.242705099020793,-0.40135904575335,0.185167255982309,-0.277394137858393,-0.231295636746645
"Willian",34,"br BRA","FW","Fulham","True",22.8,1.5740544150513,0.91311087202662,-0.755136009717029,-0.966120496666966,-0.967339486476978
"Callum Wilson",31,"eng ENG","FW","Newcastle Utd","True",11,-1.10615976776591,-1.56656978555672,-0.713161291152811,1.46923532194959,0.177214544086808
"Harry Wilson",26,"wls WAL","FW","Fulham","True",18,0.25129909248786,0.717516689057245,1.43355415905424,-0.463898743723039,-0.62850289335466
"Yoane Wissa",26,"cd COD","FW","Brentford","True",27.7,-0.621520344346789,-0.200179162599487,0.291041984230168,0.804363092043257,0.228558391560367
"Chris Wood",31,"nz NZL","FW","Nott'ham Forest","True",20.1,-0.679207394615121,-1.21700957014003,-1.43229703339171,2.12175070383522,1.20024335381301
"Pontus Almqvist",24,"se SWE","FW,MF","Lecce","True",23.4,-0.527862399807562,0.119345373694484,0.70627238006778,-0.901273817011824,-0.458130698367607
"Felipe Anderson",30,"br BRA","FW,MF","Lazio","True",30.8,0.427585441915992,1.19603926940508,-0.886943723324751,-0.193811475631732,-0.752205816220784
"Lameck Banda",22,"zm ZAM","FW","Lecce","True",15,-0.241219477413999,1.14957089959318,-0.644640785175188,-1.14526137466057,-0.359464200519891
"Lucas Beltrán",22,"ar ARG","FW,MF","Fiorentina","True",18.8,-0.0838154496138132,-0.374557487159228,0.562050547564063,1.05605503503523,-0.229959697256268
"Federico Bonazzoli",26,"it ITA","FW,MF","Hellas Verona","True",11.3,-0.550483454943446,-0.358800951186832,-1.14705285598802,0.055422815314747,-0.348017808244276
"Nicolò Cambiaghi",22,"it ITA","FW,MF","Empoli","True",28.4,-0.163441646389579,0.418089893343843,2.56165471226636,-2.06034347709649,-0.230805417289861
"Matteo Cancellieri",21,"it ITA","FW,MF","Empoli","True",19.9,-0.673209777644876,0.199992353683739,1.57375358921774,-0.371869976606143,0.196247807238064
"Francesco Caputo",35,"it ITA","FW","Empoli","True",14.1,-0.776568313094681,-1.5308387382649,-1.3634817923568,-0.536169673963867,0.341961132221091
"Valentín Castellanos",24,"ar ARG","FW","Lazio","True",18.7,-0.491008034293196,-0.471473786805327,0.310826018505057,-0.976159874031803,1.33447826561269
"Walid Cheddira",25,"ma MAR","FW","Frosinone","True",23.6,-1.27476307326189,-0.97181086352045,0.70243516916572,-0.275432871844077,0.613718742898906
"Federico Chiesa",25,"it ITA","FW","Juventus","True",24.4,1.317635083665,-0.308460360467659,0.591167591313125,0.0702241827877941,-0.879310329939421
"Samuel Chukwueze",24,"ng NGA","FW","Milan","True",11.3,1.18921775112584,1.1783068561075,-0.298216468890386,-1.767614904507,-0.59752589875393
"Lorenzo Colombo",21,"it ITA","FW","Monza","True",15.1,-1.14879181659643,-0.837787837543048,-0.453869539500952,-0.030956132398472,0.260175789860418
"Charles De Ketelaere",22,"be BEL","FW,MF","Atalanta","True",22.5,1.09211372198494,0.44566718917015,0.876467900458391,0.965495911329684,-0.311435804440089
"Paulo Dybala",29,"ar ARG","FW,MF","Roma","True",21.8,0.750044203306934,0.637972111648676,0.502482232555122,0.542576954981198,-0.929786811506889
"Caleb Ekuban",29,"gh GHA","FW","Genoa","True",12.6,-0.818124189032442,-0.658584996530133,2.83703590955038,0.222954595474642,0.857793577970261
"Olivier Giroud",36,"fr FRA","FW","Milan","True",26.3,-0.647838902401308,-1.58602518688109,-1.37805403626172,0.585664404100174,0.778899658052975
"Nicolás González",25,"ar ARG","FW","Fiorentina","True",21.3,0.0973112938760125,0.551486215210629,-0.373227127363965,0.190898492564757,0.221504412515179
"Albert Guðmundsson",26,"is ISL","FW,MF","Genoa","True",33.5,0.319974905655953,0.649610258175756,0.905622494825494,1.59344472831059,-0.934075808235786
"Jonathan Ikone",25,"fr FRA","FW","Fiorentina","True",18.7,-0.265440608444343,-0.256553006286358,-0.157463228404591,-0.670946225203569,-0.236612410867038
"Chukwubuikem Ikwuemesi",21,"ng NGA","FW","Salernitana","True",11.8,-1.34199470182761,-1.10309498421601,0.685780431806911,-0.816501393826682,1.257609091834
"Ciro Immobile",33,"it ITA","FW","Lazio","True",18.4,-0.645160067646568,-1.02508258346895,0.0664056570769665,-0.664728425201433,0.357125592858177
"Gustav Isaksen",22,"dk DEN","FW","Lazio","True",11.9,0.657730944002517,0.0795777620960182,0.289747022389069,0.167328733903087,-0.644313086060636
"Christian Kouamé",25,"ci CIV","FW","Fiorentina","True",12.1,0.0716334271578168,1.11449998596522,1.23062591636688,-0.776150358407778,0.922353813025371
"Nikola Krstović",23,"me MNE","FW","Lecce","True",26.4,-0.0890390617119356,-0.477409498489146,0.389428553118636,-1.08864894523226,0.717350385026178
"Khvicha Kvaratskhelia",22,"ge GEO","FW","Napoli","True",30.4,0.780611534552597,0.387715961347839,1.62436682727709,-0.6457477566208,-0.787731372325665
"Gianluca Lapadula",33,"pe PER","FW","Cagliari","True",13.4,-0.574853317988091,-1.31586543440797,0.384027150326686,-0.817198969896369,0.582445131476563
"Armand Lauriente",24,"fr FRA","FW","Sassuolo","True",32.3,0.0694581731886148,0.780648064012001,0.236975712034794,-0.736030685827387,-0.770733015157878
"Darko Lazović",32,"rs SRB","FW,MF","Hellas Verona","True",21.4,0.082795838845357,0.0560988155689597,-1.24749507616114,-0.570837765573799,-0.773759329226702
"Rafael Leão",24,"pt POR","FW","Milan","True",27.9,1.76082666612016,-0.145131018487753,0.842173647008427,0.240269236086502,-0.609418533820204
"Ademola Lookman",25,"ng NGA","FW,MF","Atalanta","True",21,1.36724002592156,0.48361952961887,-0.114628503059543,0.370515226996964,-0.48584407390512
"Lorenzo Lucca",22,"it ITA","FW","Udinese","True",28.8,-1.40467307153728,-0.831682395844065,0.0499888099694107,-0.0203824076887899,1.19019178191741
"Romelu Lukaku",30,"be BEL","FW","Roma","True",29.3,-0.517225404011732,-1.34243667989349,-1.23715599749863,1.41768548977325,0.116157420050489
"Zito Luvumbo",21,"ao ANG","FW,MF","Cagliari","True",21.6,-0.196876116258505,-0.30361236321197,1.96165222655683,-0.556407879245806,-0.310451947509819
"Lautaro Martínez",25,"ar ARG","FW","Inter","True",29.5,-0.01361938295011,-0.213159307137589,0.211201725989433,1.69032133008362,-0.156359195047722
"Arkadiusz Milik",29,"pl POL","FW","Juventus","True",10.2,-0.0677264826785161,-0.287727620870532,1.18132303718091,-0.690489429508342,0.837829280772213
"Dany Mota",25,"pt POR","FW,MF","Monza","True",22.8,0.137895284871587,-0.153057050717312,0.188316226533984,-0.590914385122942,0.15412144722012
"Dan Ndoye",22,"ch SUI","FW,MF","Bologna","True",19.7,-0.342598224617366,1.24774908818928,0.840738106028069,-1.58993029529557,-0.145866046281849
"M'Bala Nzola",26,"ao ANG","FW","Fiorentina","True",17.2,-0.342011491862065,-0.67436269422028,-0.491747819388594,-0.883940532302351,1.13912654239955
"Gaetano Oristanio",20,"it ITA","FW,MF","Cagliari","True",12.3,-0.281147864594208,1.47167561378515,0.780404902951776,-0.534798493638852,-0.233427060249192
"Riccardo Orsolini",26,"it ITA","FW,MF","Bologna","True",19.9,0.801458183464493,0.191010001764889,0.0162552151192883,0.332265387232187,-0.568639086405503
"Victor Osimhen",24,"ng NGA","FW","Napoli","True",22,-0.968721313194058,-1.3769053721072,0.535030114573742,0.70932170774625,0.506057160111241
"Roberto Pereyra",32,"ar ARG","FW,MF","Udinese","True",20.6,-0.19767510123122,0.770957335312165,-0.596880495667382,-0.287498194136484,-0.471085652642773
"Andrea Pinamonti",24,"it ITA","FW","Sassuolo","True",34.2,-1.09389443165085,-1.05622341152282,0.553378176575718,0.326668195243115,0.389173750317196
"Matteo Politano",29,"it ITA","FW","Napoli","True",26.2,1.93722638633564,0.660139204958779,0.0358713865664462,-0.253663700899726,-1.17385929162165
"Christian Pulisic",24,"us USA","FW,MF","Milan","True",28.9,0.117957496600256,0.145847305137413,-0.0569694732957626,0.849174215802356,-0.487496238313114
"Giacomo Raspadori",23,"it ITA","FW,MF","Napoli","True",17.6,0.869553060097333,-0.0199644066746121,-0.388804900399355,-0.684225875121699,-0.601439734670254
"Mateo Retegui",24,"it ITA","FW","Genoa","True",24.6,-1.62338016890077,-0.926261258495779,-0.614124825095479,-0.490228813881075,0.794332464683012
"Alexis Saelemaekers",24,"be BEL","FW,MF","Bologna","True",21,0.664831874536729,1.62543546726378,0.197053499209905,0.500839331395861,-1.31047051098261
"Antonio Sanabria",27,"py PAR","FW,MF","Torino","True",23.7,-1.0995338076274,-0.360342570981954,-0.971405407544259,-1.44220907429214,1.01670747378725
"Gianluca Scamacca",24,"it ITA","FW","Atalanta","True",16.1,0.789977809679728,-0.743615431843574,-0.511521025072337,1.04317557993685,-0.182826745214774
"Eldor Shomurodov",28,"uz UZB","FW,MF","Cagliari","True",10.4,-0.59268271808207,-0.0402044404308374,-0.75732214043327,0.0657394204873439,0.551459182728999
"Riccardo Sottil",24,"it ITA","FW","Fiorentina","True",12.3,0.80142431137854,0.213860968678552,0.860372996048279,-1.19256966585237,-0.6755922092859
"Matìas Soulé",20,"ar ARG","FW,MF","Frosinone","True",34.7,1.40654153317284,1.44764061767254,-0.561685232896054,-0.327182496563704,-1.23948262807525
"Loum Tchaouna",19,"fr FRA","FW,MF","Salernitana","True",23.3,-0.557497056233683,-0.071064166431333,-0.757276958283295,-0.265053221960265,-0.332668042288129
"Florian Thauvin",30,"fr FRA","FW","Udinese","True",19,1.05266955572689,0.290238139535414,-0.632163564181562,-0.60383406971926,-0.697599218526843
"Marcus Thuram",25,"fr FRA","FW","Inter","True",29.9,-0.387814145730329,-1.01598003792001,1.16802750107714,0.668388375079106,0.715997894219537
"Dušan Vlahović",23,"rs SRB","FW","Juventus","True",25.6,-0.469485042824858,-0.858985308818172,-0.786223104448474,0.375818103735584,0.0712821470652689
"Mattia Zaccagni",28,"it ITA","FW,MF","Lazio","True",21.7,0.132673899740519,0.647578926211514,0.101065407327855,0.326837797082365,-0.717714942164024
"Joshua Zirkzee",22,"nl NED","FW","Bologna","True",30.7,-0.0450943124910074,0.0281769179256365,-0.933607889464571,-0.100042774727283,-0.444959272628996
"Elye Wahi",20,"fr FRA","FW","Montpellier/Lens","True",19,-0.989512016120892,-1.24621817894401,0.153907089213452,0.658154521929514,0.154946900295617
"Ben Brereton",24,"cl CHI","FW,MF","Villarreal/Sheffield Utd","True",15.3,-0.63531391916169,-0.17963074503224,-0.103678181022266,0.619955317501832,-0.185295745360543
"Beto",25,"gw GNB","FW","Everton/Udinese","True",11.4,-0.31938631035855,-0.387302658100374,-0.183602749595254,-1.02191570246062,1.31110143354917
"Bradley Barcola",20,"fr FRA","FW,MF","Lyon/Paris S-G","True",18.2,1.46223694166034,0.323796709820067,-1.0435575874445,-0.142115271603387,-0.262831438526428
"Sheraldo Becker",28,"sr SUR","FW,MF","Union Berlin/Real Sociedad","True",15.8,0.583390189438312,0.618727915265988,-0.693777302306521,-1.62292176834608,-0.451623412464203
"Brennan Johnson",22,"wls WAL","FW","Tottenham/Nott'ham Forest","True",25.8,0.365552806572881,-0.0777614665880623,-0.369491330128272,-0.608477222656353,-0.13776832140322
"Cameron Archer",22,"eng ENG","FW,MF","Sheffield Utd/Aston Villa","True",20.5,-0.574458516561897,-0.376513069526035,-1.05986207820188,0.37004506901771,-0.420356785355842
"Saïd Benrahma",27,"dz ALG","FW,MF","Lyon/West Ham","True",15.5,1.71420523460659,1.51791653856237,-0.905214722994948,-0.824326906449482,-1.31248273187838
"Vitinha Oliveira",23,"pt POR","FW","Marseille/Genoa","True",13.5,0.231536413709335,-0.0750702475954902,1.84902282134805,-0.813042129897382,0.451729884915362
"Jordan Pefok",27,"us USA","FW","Gladbach/Union Berlin","True",16.1,-0.453681489173091,-0.940929185082372,-0.112350300130129,0.176250684119781,1.13725508524643
"Andrea Belotti",29,"it ITA","FW","Fiorentina/Roma","True",18,-0.764850678212722,-1.10535266205523,2.07022841515853,-0.491891124684437,1.05083133677036
"Tino Kadewere",27,"zw ZIM","FW,MF","Lyon/Nantes","True",12,-0.00615204918770167,1.34654471240712,-0.359881730573422,-0.739852341854037,0.186401787541515
"Timo Werner",27,"de GER","FW","RB Leipzig/Tottenham","True",11.3,1.23645088906248,-0.189342711839009,-0.973502413593052,-0.0130009154664928,-0.611922857381769
"Jeremy Doku",21,"be BEL","FW,MF","Rennes/Manchester City","True",18.9,3.01165048534939,0.80187026537186,0.360818149488513,-0.876860894976575,-1.09404801200623
"Neal Maupay",26,"fr FRA","FW","Brentford/Everton","True",15.9,0.0517247831889743,0.112923809497448,-1.12257581534439,0.564597440863529,-0.261341142821561
"Niclas Füllkrug",30,"de GER","FW","Werder Bremen/Dortmund","True",26.6,-0.00578255613274382,-1.25553498516164,-0.588303083886281,1.57499142944749,0.882752547801278
"Duván Zapata",32,"co COL","FW","Torino/Atalanta","True",33.2,-0.730291553784377,-0.648442997102116,0.429218212081725,-0.0574551119072591,1.32394657303594
"Pablo Fornals",27,"es ESP","FW,MF","Betis/West Ham","True",17.5,0.750841245312186,1.90515290091666,-0.624079574791634,0.076182813491755,-0.880088579478631
"Ezequiel Ávila",29,"ar ARG","FW,MF","Osasuna/Betis","True",12.9,0.518302103461078,0.375411522015839,0.359902431899296,-0.58045943035491,-0.524993590285425
"Samuel Omorodion",19,"es ESP","FW","Alavés/Granada","True",22.2,-1.38147114835147,-1.08569288154916,-0.68635124550569,0.124599335962033,1.07137459101869
"Cole Palmer",21,"eng ENG","FW,MF","Chelsea/Manchester City","True",29.1,2.43179115991989,0.643752078228076,-0.384552892787128,1.90600719032387,-1.42494827842576
"Cyril Ngonge",23,"be BEL","FW,MF","Hellas Verona/Napoli","True",19.4,0.0191651144391846,0.124983763941307,1.68555861384421,0.264820712025157,-0.0105051423451665
"Milan Đurić",33,"ba BIH","FW","Hellas Verona/Monza","True",27.4,-1.26026839824644,-1.31719496028715,-0.749256882440095,0.332417155421553,2.84251729325751
"Roberto Piccoli",22,"it ITA","FW","Empoli/Lecce","True",15.7,-1.02338482529107,-0.716194822668258,-0.96608207738889,-0.830709085752472,1.02456301631678
"Mohamed Ali Cho",19,"fr FRA","FW","Real Sociedad/Nice","True",12.4,-0.237885377458886,0.400582564958672,1.62606959299349,-0.676616947948262,-0.318232267694154
"Gianluca Gaetano",23,"it ITA","FW,MF","Cagliari/Napoli","True",10.1,0.975380797182578,1.57768746240479,0.405084548776459,1.11761355351072,-1.14168850835517
"David Datro Fofana",20,"ci CIV","FW","Union Berlin/Burnley","True",17.4,-1.06916492213371,-0.505917673346142,-0.947023536111617,0.0952630244647653,0.26736671761698
"Randal Kolo Muani",24,"fr FRA","FW,MF","Eint Frankfurt/Paris S-G","True",15.8,0.125213454748183,-0.313809383810312,0.60274293791185,1.55388552361946,0.461316689794679
"Kevin Behrens",32,"de GER","FW","Wolfsburg/Union Berlin","True",20.8,-0.208805369199104,-0.672404593318485,0.615695074362339,-0.708536827432811,2.11722338297875
"Abdessamad Ezzalzouli",21,"ma MAR","FW","Barcelona/Betis","True",10.4,-0.85370927683566,0.782104536679323,0.495682705223604,-1.94146367820291,0.0976042093169914
"Alex Iwobi",27,"ng NGA","FW,MF","Everton/Fulham","True",26,1.47866847094202,1.64630978436381,-1.45523292549143,-0.765695919430041,-0.997324022558267
"Alex Sola",24,"es ESP","FW,MF","Alavés/Real Sociedad","True",14.3,0.34474407610499,1.49641404616327,2.05812186555758,-2.83360722040592,-0.213627863674592
"Mohamed Amoura",23,"dz ALG","FW","Union SG","False",15.9,0.323831021770246,-0.0043290225376194,1.2594270846713,1.70708850602217,-0.576268382808496
"Tolu Arokodare",22,"ng NGA","FW","Genk","False",14.5,-0.169540370443487,-0.913925138760116,-0.434557651771817,-0.437393208299552,1.86252180650668
"Felipe Avenatti",30,"uy URU","FW,MF","Kortrijk","False",17.4,-0.499023497360327,0.240767113575626,-0.192059056796351,-1.30076729916023,1.34947630986738
"Youssouph Badji",21,"sn SEN","FW,MF","Charleroi","False",10.4,-0.688509685053648,-0.737624567399782,0.527590284031821,-2.31525660108184,2.21786284193341
"Michel-Ange Balikwisha",22,"be BEL","FW,MF","Antwerp","False",19.8,0.470633796597802,1.0397006658813,-0.241813755241212,0.438878244577801,-0.75675700741805
"Christopher Bonsu Baah",18,"gh GHA","FW","Genk","False",13.2,1.52297666775728,1.17818927654856,2.30570747776573,-1.43264262597009,-0.372704820889125
"Jonatan Braut Brunes",22,"no NOR","FW","OH Leuven","False",11.8,-0.762780397273261,-1.08266593838578,0.133258655488184,0.0426977639434759,0.438756560846099
"Regan Charles-Cook",26,"gd GRN","FW,MF","Eupen","False",14.9,-0.428174032666418,-0.0225514841116075,0.0223605621148716,1.05884223183634,0.045919941036608
"Hugo Cuypers",26,"be BEL","FW","Gent","False",18.1,-0.67864965371465,0.131529417862079,-0.231668390434087,-0.360889107906791,0.553370740172994
"Oday Dabbagh",24,"ps PLE","FW","Charleroi","False",16.3,-0.408240943492405,-0.344526466404908,-0.515560377837841,0.432739904013276,0.222302616640976
"Jón Dagur Þorsteinsson",24,"is ISL","FW,MF","OH Leuven","False",20.3,0.394015767705183,1.04369198723005,0.361506521003501,-0.482749574949357,-0.53746081198482
"Isaak Davies",21,"wls WAL","FW","Kortrijk","False",19.2,-1.37197289072334,-1.30736997158874,-0.711876007409774,1.65128953773995,0.306526987680779
"Kévin Denkey",22,"tg TOG","FW","Cercle Brugge","False",27.7,-0.0350306180668142,-0.670602632276792,0.144865768210037,1.75944474449789,0.711982452831992
"Kasper Dolberg",25,"dk DEN","FW","Anderlecht","False",23.9,-0.680095659433154,-0.850703745206626,-0.473782701367763,1.13713952685365,0.281333842808228
"Anders Dreyer",25,"dk DEN","FW,MF","Anderlecht","False",24.9,1.27427491666185,0.284573460481927,-0.645422496406258,1.39733801518113,-1.05582715671109
"Dennis Eckert",26,"de GER","FW","Union SG","False",12.6,-0.141585663088506,-1.10655378041243,-0.515264551725022,-0.151305975060632,0.424854207571089
"Alfreð Finnbogason",34,"is ISL","FW","Eupen","False",12.5,-0.3962899764681,-0.119304662049206,-0.827883086452624,-1.42181073789436,0.24442672262545
"Matija Frigan",20,"hr CRO","FW","Westerlo","False",11.2,-1.8830828238893,-2.09018625085846,-1.19311510570462,-2.13069306063806,1.51284050347901
"Makhtar Gueye",25,"sn SEN","FW","RWD Molenbeek","False",24.2,-1.06723015307352,-1.05428231555752,-0.975535571141742,0.527729689287509,2.21240794415672
"Parfait Guiagon",22,"ci CIV","FW,MF","Charleroi","False",15.2,0.0525626579964865,1.85724252512813,-0.360946566537771,0.443533494080552,-1.02628767278005
