"player","age","nationality","position","team","top5","minutes_90s","Fantasista","Sacrificio","Prendi_Falli","Bomber","Torre"
"Leroy Sané",27,"de GER","FW","Bayern Munich","True",23.7,2.93219232950335,0.909239629713117,-0.164390976583856,-0.290131925238503,-1.09403797286718
"Patrik Schick",27,"cz CZE","FW","Leverkusen","True",11.8,-0.326587571038786,-1.1945057673185,-0.396085542466036,0.571974218729788,0.27969756072223
"Benjamin Šeško",20,"si SVN","FW","RB Leipzig","True",17,-0.701626328158049,-1.34717768589689,-0.819980928026459,2.19028848957603,0.102030068900615
"Mathys Tel",18,"fr FRA","FW,MF","Bayern Munich","True",11.7,0.570336807270406,0.200031152822704,0.149133073799024,0.198146244901526,-0.428931027306795
"Phillip Tietz",26,"de GER","FW","Augsburg","True",26.5,-0.298592382557921,-0.288863618193898,-0.984500764846655,0.700008289381646,1.07711882674086
"Tiago Tomás",21,"pt POR","FW,MF","Wolfsburg","True",11.5,-0.951332610042579,-0.306454816693099,-0.522822368506901,-1.64058391071511,0.381667735122435
"Deniz Undav",27,"de GER","FW,MF","Stuttgart","True",23.2,1.61493215762504,-0.123126179524761,0.137982027579428,0.976256496806122,-0.725881814316214
"Oscar Vilhelmsson",19,"se SWE","FW,MF","Darmstadt 98","True",15.3,-1.07180870442703,-1.27800576507748,-0.450570162572768,0.397425782597896,1.10856263472365
"Kevin Volland",31,"de GER","FW,MF","Union Berlin","True",14.9,0.175911500242673,0.370144390399412,-0.948973167267201,-1.23261440608618,0.0110781414805382
"Wout Weghorst",30,"nl NED","FW","Hoffenheim","True",22,0.607435015034806,-0.834361660342398,0.0570034142609863,0.588808927308454,0.659265505166736
"Jonas Wind",24,"dk DEN","FW","Wolfsburg","True",29.5,-0.0530936897206987,-0.905029178811342,-0.466112682459657,0.726109332311544,0.509557851100827
"Nick Woltemade",21,"de GER","FW,MF","Werder Bremen","True",13.2,1.04976494052733,1.45034865893652,0.558098311770135,-1.01796246575057,-0.174410332893092
"José Arnaiz",28,"es ESP","FW,MF","Osasuna","True",10.3,-0.38339877184024,0.524659199631616,3.16177735220939,-0.717827994149478,-0.632352969415581
"Iago Aspas",35,"es ESP","FW","Celta Vigo","True",30.1,2.5126542095461,0.286663035598486,0.188932120461212,-0.404018108741794,-1.00189129587182
"Léo Baptistão",30,"br BRA","FW","Almería","True",20.4,-0.944488651468481,0.322204257486053,0.180714842042703,-0.104874547359097,0.361310380970856
"Ander Barrenetxea",21,"es ESP","FW,MF","Real Sociedad","True",15.9,-0.550877552665929,1.18736845187945,-0.508671809179461,-0.449171667160568,-0.412813488148301
"Álex Berenguer",28,"es ESP","FW","Athletic Club","True",17.7,0.183572663880423,0.0997239187973718,-0.638326422820163,0.9798578624766,-0.26500378385273
"Lucas Boyé",27,"ar ARG","FW","Granada","True",28.2,-0.352622191228351,0.461487009900307,-0.927571333848591,-0.543018052755325,0.397701486687844
"Ante Budimir",32,"hr CRO","FW","Osasuna","True",27.1,-1.31194513633853,-1.25042259509883,0.304890997226678,1.4683983292188,1.91541946255466
"Sergio Camello",22,"es ESP","FW","Rayo Vallecano","True",18.5,-0.457860488925718,-0.141596388476222,-0.796436698754273,-0.486589118868867,-0.0356184477468842
"Ángel Correa",28,"ar ARG","FW,MF","Atlético Madrid","True",17,1.14827696820684,0.00182580076548795,-0.487931679857742,1.19236509554336,-0.735270909443703
"Brahim Díaz",23,"ma MAR","FW,MF","Real Madrid","True",17.2,1.30916879399531,0.797492592630407,0.253606410656644,0.962950194286991,-0.901963899506179
"Anastasios Douvikas",23,"gr GRE","FW","Celta Vigo","True",10.1,-1.08474880690308,-1.0329106797888,0.192606813665635,1.71618012054974,0.959535088077456
"Artem Dovbyk",26,"ua UKR","FW","Girona","True",28.7,-0.563450256103844,-2.15504463473637,-1.1258998839246,2.12640078710528,0.271910541302221
"Hugo Duro",23,"es ESP","FW","Valencia","True",33.1,-1.56939387507328,-0.913074685208906,1.42019329678783,1.08205211465231,0.69693939797637
"Adri Embarba",31,"es ESP","FW,MF","Almería","True",27.5,0.222574640841643,1.40730411659756,0.0400344670371982,-0.974256550533128,-0.63357506820638
"Youssef En-Nesyri",26,"ma MAR","FW","Sevilla","True",28.6,-1.73354947756363,-1.55395316721138,-0.996963071715336,1.53144015541879,0.701461070930586
"João Félix",23,"pt POR","FW","Barcelona","True",17.1,0.451836541725127,0.587380733048302,-0.168645744957483,-0.479323288348485,-0.47626842728825
"Jorge de Frutos",26,"es ESP","FW,MF","Rayo Vallecano","True",17.2,-0.146565770330658,0.82341274336437,-0.556674813450599,-0.893021253727332,-0.350870408735192
"Álvaro García",30,"es ESP","FW,MF","Rayo Vallecano","True",27.5,0.0424264865082382,0.535978512865064,-0.0932320233626713,0.0840604960853823,-0.351476880464449
"Rubén García",30,"es ESP","FW,MF","Osasuna","True",17.2,0.53358061142388,1.16364992304855,0.748440312795957,-0.460370463765136,-0.228882237748218
"Maxi Gómez",26,"uy URU","FW","Cádiz","True",12.9,-1.22853320034334,-1.37647393162443,0.723189423465712,-1.38314254164326,2.0079086417071
"Antoine Griezmann",32,"fr FRA","FW,MF","Atlético Madrid","True",29.4,0.592161000682621,0.19243212602289,-0.950608343611756,0.776836941664753,-0.719098752317384
"Gorka Guruzeta",26,"es ESP","FW","Athletic Club","True",24.6,-0.477810859728511,-0.0551766768232786,-0.212741777476769,1.38234696615797,0.668434794463921
"Munir El Haddadi",27,"ma MAR","FW","Las Palmas","True",27.2,-0.541164507255286,0.187869097595355,0.692783661759848,-1.04166539535048,-0.217688950326641
"Willian José",31,"br BRA","FW","Betis","True",21.9,-0.592755525355466,-1.10624773301653,-1.38443434648429,1.29782311788602,-0.155582694307184
"Joselu",33,"es ESP","FW","Real Madrid","True",18.7,-0.787055236325916,-1.17084184408042,-1.39862450152944,0.479691842846151,0.502479492637926
"Vinicius Júnior",23,"br BRA","FW","Real Madrid","True",20.7,0.53171258245305,-0.666992364949631,0.656635651694208,1.11220218521186,-0.403292700503082
"Kiké",33,"es ESP","FW,MF","Alavés","True",15.8,-0.497118641621015,-0.50532575826665,0.727003139936024,-1.28243804972386,1.18272149515356
"Takefusa Kubo",22,"jp JPN","FW,MF","Real Sociedad","True",23.9,1.42683187666564,0.547635424818022,0.311957310035199,0.420672997263159,-0.761931555151369
"Cyle Larin",28,"ca CAN","FW","Mallorca","True",20.3,-1.50992405771637,-1.07976855923451,-0.293438530311212,-1.55998721848374,1.57784679154649
"Juanmi Latasa",22,"es ESP","FW","Getafe","True",17.3,-0.778431343060682,-1.30946761208172,0.282032745392653,-1.20162832124685,3.45908087490912
"Robert Lewandowski",34,"pl POL","FW","Barcelona","True",30.6,-0.632226493196752,-1.11121515103014,-0.0640002208216052,1.00767917605084,0.344315190825154
"José Luis Morales",36,"es ESP","FW,MF","Villarreal","True",11.6,-0.886641090520127,-0.240766613766859,-1.01144194485377,1.54251962451122,-0.338381707424666
"Dodi Lukebakio",25,"be BEL","FW,MF","Sevilla","True",12.5,0.124707423564716,-0.534529534336752,1.0120017494826,-0.356241669049017,0.292325626784775
"Roger Martí",32,"es ESP","FW","Cádiz","True",15.1,-0.85640767818235,0.190688907473492,0.357549893363343,-0.946543381691074,0.279041064350371
"Jaime Mata",34,"es ESP","FW,MF","Getafe","True",19.9,-0.506465870590583,-0.403069420697881,-1.21458050502889,0.463007585554305,0.963242104787555
"Borja Mayoral",26,"es ESP","FW","Getafe","True",23.9,-0.563178396750633,-0.573268683464983,-0.569969889581991,2.27124382547431,0.382657498131595
"Alberto Moleiro",19,"es ESP","FW,MF","Las Palmas","True",20,0.500408260040075,0.36476178076778,-0.517836446014508,-0.422325649665959,-0.68973787567375
"Álvaro Morata",30,"es ESP","FW","Atlético Madrid","True",21.2,-0.95919302466736,-1.01163867279714,0.111905328717838,1.43464353656095,0.550444344840925
"Gerard Moreno",31,"es ESP","FW","Villarreal","True",24.6,1.36403086146968,0.317367294207379,-0.766930112208529,0.124342944037695,-0.538924510094681
"Vedat Muriqi",29,"xk KVX","FW","Mallorca","True",25.9,-0.554848851361405,-0.568736573219858,-0.906002448382365,-0.354989126553987,1.79273056766361
"Lucas Ocampos",29,"ar ARG","FW,MF","Sevilla","True",31.9,0.200473058220412,1.38042395410476,0.951762919105959,-1.42995848677144,-0.0854106903352538
"Mikel Oyarzabal",26,"es ESP","FW,MF","Real Sociedad","True",24,-1.06761041339282,-0.536811171107873,-0.896188755945027,1.07844081104902,0.0852931694368678
"Ayoze Pérez",30,"es ESP","FW","Betis","True",25.5,0.0841157679984722,1.03826554590091,0.223046091401621,-0.240080209252489,-0.369596848640529
"Abdón Prats",30,"es ESP","FW,MF","Mallorca","True",14.1,-0.871815841822935,-1.00627986089624,-0.864983879344968,0.596539070647029,0.788761476495642
"Largie Ramazani",22,"be BEL","FW,MF","Almería","True",17.3,0.0832550529622162,1.26877725225453,0.474410112807326,-0.942425887136815,-0.517362085552156
"Sandro Ramírez",28,"es ESP","FW","Las Palmas","True",20.1,0.151814942654479,-0.010859040584939,0.512421475192906,-1.33310919115773,-0.499441908011382
"Chris Ramos",26,"es ESP","FW,MF","Cádiz","True",29,-1.52092501055877,-0.966960042055876,0.183434228551375,-1.15640135938783,2.39954839385776
"Raphinha",26,"br BRA","FW,MF","Barcelona","True",15.2,1.81596671088198,1.23495639021684,1.39233062003894,-0.648264773603311,-0.764608531584507
"Raúl",22,"es ESP","FW","Osasuna","True",15.1,-1.15289777038398,-1.12669016447356,-0.628485330157061,0.549542459424505,1.04341803666202
"Luis Rioja",29,"es ESP","FW,MF","Alavés","True",27.8,0.164890477097983,0.951785778557329,-0.95911278855723,-1.22048335608511,-0.686027452998945
"Rodri",23,"es ESP","FW,MF","Betis","True",11.7,0.442594992729421,1.46036859414906,0.458168009714486,-2.19779214960843,-0.682775251213548
"Rodrygo",22,"br BRA","FW","Real Madrid","True",26.4,0.718245891667244,-0.527457049660399,-0.126786192079892,-0.142953566200346,-0.41722406844705
"Umar Sadiq",26,"ng NGA","FW","Real Sociedad","True",12,-1.17476805711837,-0.581705046732271,-0.258318519599003,-0.535327617791574,0.995345023257714
"Sávio",19,"br BRA","FW,MF","Girona","True",33.1,1.17524306662338,1.28749004947066,0.600800674476453,0.958204952996815,-0.934083505775719
"Jørgen Strand Larsen",23,"no NOR","FW","Celta Vigo","True",31.8,-0.892953663738736,-0.697619259748103,-0.497206887845447,0.327194971829722,0.990866520986667
"Alexander Sørloth",27,"no NOR","FW","Villarreal","True",27.7,-0.311702302209324,-1.27474097254271,-1.02609886975652,2.8213082540872,0.359292787083421
"Raúl de Tomás",28,"es ESP","FW","Rayo Vallecano","True",14.1,-1.54030534918146,-0.481408647695266,0.0877448028312295,-1.94490268824355,0.475606446255502
"Ferrán Torres",23,"es ESP","FW","Barcelona","True",13.5,0.688234655814718,-0.176985062018146,-0.0696854135193587,0.773079149520955,-0.594524379328341
"Óscar Trejo",35,"ar ARG","FW,MF","Rayo Vallecano","True",15.3,1.0557355194838,2.11736568316444,2.69707417419204,-2.46533676333397,-0.591632334874039
"Myrto Uzuni",28,"al ALB","FW","Granada","True",27.2,-0.969383853844095,-0.9513510480758,-1.00059579916157,0.60719510536256,-0.176395510007197
"Iñaki Williams",29,"gh GHA","FW","Athletic Club","True",31.6,0.621329375597454,0.19233922435923,0.181291239700141,0.0955507563107183,-0.35791972604698
"Nico Williams",21,"es ESP","FW","Athletic Club","True",25.1,1.40612961189462,1.18737686668862,0.165781435654124,-0.860708999128794,-0.882336906187737
"Lamine Yamal",16,"es ESP","FW","Barcelona","True",24.5,1.13295529233199,0.883592833448561,0.74749804885092,-0.724451063491808,-0.695072036284111
"Roman Yaremchuk",27,"ua UKR","FW","Valencia","True",10.3,-1.5404318331808,-0.728126254613311,-0.714512345128076,0.721486174303821,0.77253985924518
"Matthis Abline",20,"fr FRA","FW","Nantes","True",11.6,0.207895630665581,-0.253460058524927,-0.821526063937585,-0.0438473410466474,-0.0799659912127336
"Akor Adams",23,"ng NGA","FW","Montpellier","True",25,-1.04339614324049,-1.03408438294509,-1.13475367584891,-0.296796613675691,0.844311387122476
"Hákon Arnar Haraldsson",20,"is ISL","FW,MF","Lille","True",14.3,-0.325800288962167,0.138130929976557,0.84663054323697,0.367013195972642,-0.52617452442354
"Pierre-Emerick Aubameyang",34,"ga GAB","FW","Marseille","True",29.1,-0.332654104136254,-0.718440311557508,-0.439661284220428,0.0518719824677266,-0.0653410164749505
"Dilane Bakwa",20,"fr FRA","FW,MF","Strasbourg","True",24.2,0.557084838881969,1.17992885982034,0.783626241068375,-0.926279784044668,-0.69126390246462
"Folarin Balogun",22,"us USA","FW","Monaco","True",18.8,-0.0998939367345656,-0.772226661101305,0.307741859461153,-0.184272243699909,0.0725428327003674
"Wissam Ben Yedder",32,"fr FRA","FW","Monaco","True",25.7,0.807800671421859,-0.551371491849745,-1.17984052497641,1.49643315625152,-0.434182939060265
"Ludovic Blas",25,"fr FRA","FW,MF","Rennes","True",17.4,-0.344455150145802,1.04161885428396,-0.757411717395199,-0.719075417417947,-0.382357060720923
"Jeremie Boga",26,"ci CIV","FW","Nice","True",22.2,0.241499302412728,0.0527755060141541,-1.06164049277855,0.424343366024457,-0.797468845366578
"Ângelo Borges",18,"br BRA","FW,MF","Strasbourg","True",12.2,1.73462450854972,2.31772793777598,-0.185279576761547,-1.19727068635599,-1.17542991783803
"Bilal Boutobba",24,"fr FRA","FW,MF","Clermont Foot","True",10.3,0.14442900235692,1.52670912240829,0.67413957484153,-1.60012865785386,-0.471203355168398
"Rémy Cabella",33,"fr FRA","FW,MF","Lille","True",16.4,1.22908339344968,1.56011677640493,-0.324054510554902,-1.05851785737051,-0.575566428993913
"Thijs Dallinga",22,"nl NED","FW","Toulouse","True",27.9,-1.03192972712538,-0.83660347636897,-0.76778008740281,0.592357933038232,0.499876869963494
"Mohammed Daramy",21,"dk DEN","FW,MF","Reims","True",18.3,0.339708272622169,0.251066146191367,-0.00424841541379526,-0.46594240659483,-0.394438787492975
"Jonathan David",23,"ca CAN","FW","Lille","True",29.2,-0.319259578663763,-0.448363779316663,0.0102526013261105,1.7311697399697,-0.159482986081025
