player,age,nationality,position,team,top5,minutes_90s,Fantasista = Low,Fantasista = Average,Fantasista = High,Sacrificio = Low,Sacrificio = Average,Sacrificio = High,Prendi_Falli = Low,Prendi_Falli = Average,Prendi_Falli = High,Bomber = Low,Bomber = Average,Bomber = High,Torre = Low,Torre = Average,Torre = High
Patrik Schick,27,cz CZE,FW,Leverkusen,True,11.8,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
Benjamin Šeško,20,si SVN,FW,RB Leipzig,True,17.0,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False
Mathys Tel,18,fr FRA,"FW,MF",Bayern Munich,True,11.7,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Phillip Tietz,26,de GER,FW,Augsburg,True,26.5,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
Tiago Tomás,21,pt POR,"FW,MF",Wolfsburg,True,11.5,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
Deniz Undav,27,de GER,"FW,MF",Stuttgart,True,23.2,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False
Oscar Vilhelmsson,19,se SWE,"FW,MF",Darmstadt 98,True,15.3,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
Kevin Volland,31,de GER,"FW,MF",Union Berlin,True,14.9,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
Wout Weghorst,30,nl NED,FW,Hoffenheim,True,22.0,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True
Jonas Wind,24,dk DEN,FW,Wolfsburg,True,29.5,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
Nick Woltemade,21,de GER,"FW,MF",Werder Bremen,True,13.2,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False
José Arnaiz,28,es ESP,"FW,MF",Osasuna,True,10.3,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
Iago Aspas,35,es ESP,FW,Celta Vigo,True,30.1,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Léo Baptistão,30,br BRA,FW,Almería,True,20.4,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Ander Barrenetxea,21,es ESP,"FW,MF",Real Sociedad,True,15.9,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
Álex Berenguer,28,es ESP,FW,Athletic Club,True,17.7,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
Lucas Boyé,27,ar ARG,FW,Granada,True,28.2,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Ante Budimir,32,hr CRO,FW,Osasuna,True,27.1,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
Sergio Camello,22,es ESP,FW,Rayo Vallecano,True,18.5,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Ángel Correa,28,ar ARG,"FW,MF",Atlético Madrid,True,17.0,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False
Brahim Díaz,23,ma MAR,"FW,MF",Real Madrid,True,17.2,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False
Anastasios Douvikas,23,gr GRE,FW,Celta Vigo,True,10.1,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
Artem Dovbyk,26,ua UKR,FW,Girona,True,28.7,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
Hugo Duro,23,es ESP,FW,Valencia,True,33.1,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True
Adri Embarba,31,es ESP,"FW,MF",Almería,True,27.5,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
Youssef En-Nesyri,26,ma MAR,FW,Sevilla,True,28.6,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
João Félix,23,pt POR,FW,Barcelona,True,17.1,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Jorge de Frutos,26,es ESP,"FW,MF",Rayo Vallecano,True,17.2,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
Álvaro García,30,es ESP,"FW,MF",Rayo Vallecano,True,27.5,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Rubén García,30,es ESP,"FW,MF",Osasuna,True,17.2,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
Maxi Gómez,26,uy URU,FW,Cádiz,True,12.9,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True
Antoine Griezmann,32,fr FRA,"FW,MF",Atlético Madrid,True,29.4,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False
Gorka Guruzeta,26,es ESP,FW,Athletic Club,True,24.6,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
Munir El Haddadi,27,ma MAR,FW,Las Palmas,True,27.2,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False
Willian José,31,br BRA,FW,Betis,True,21.9,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
Joselu,33,es ESP,FW,Real Madrid,True,18.7,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
Vinicius Júnior,23,br BRA,FW,Real Madrid,True,20.7,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
Kiké,33,es ESP,"FW,MF",Alavés,True,15.8,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True
Takefusa Kubo,22,jp JPN,"FW,MF",Real Sociedad,True,23.9,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Cyle Larin,28,ca CAN,FW,Mallorca,True,20.3,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
Juanmi Latasa,22,es ESP,FW,Getafe,True,17.3,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
Robert Lewandowski,34,pl POL,FW,Barcelona,True,30.6,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
José Luis Morales,36,es ESP,"FW,MF",Villarreal,True,11.6,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
Dodi Lukebakio,25,be BEL,"FW,MF",Sevilla,True,12.5,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Roger Martí,32,es ESP,FW,Cádiz,True,15.1,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
Jaime Mata,34,es ESP,"FW,MF",Getafe,True,19.9,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True
Borja Mayoral,26,es ESP,FW,Getafe,True,23.9,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
Alberto Moleiro,19,es ESP,"FW,MF",Las Palmas,True,20.0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
Álvaro Morata,30,es ESP,FW,Atlético Madrid,True,21.2,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
Gerard Moreno,31,es ESP,FW,Villarreal,True,24.6,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
Vedat Muriqi,29,xk KVX,FW,Mallorca,True,25.9,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True
Lucas Ocampos,29,ar ARG,"FW,MF",Sevilla,True,31.9,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
Mikel Oyarzabal,26,es ESP,"FW,MF",Real Sociedad,True,24.0,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
Ayoze Pérez,30,es ESP,FW,Betis,True,25.5,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
