player,age,nationality,position,team,games,minutes_90s,goals,assists,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,npxg_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,G-xg,npG-npxg,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_short,passes_pct_short,passes_medium,passes_pct_medium,passes_long,passes_pct_long,pass_xa,A-xa,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,passes_offsides,passes_blocked,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,blocks,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Jeffrey Puriel,20,nl NED,FW,Almere City,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.0,0.0,1.0,0.0,0.0,0.1,0.36,0.1,100.0,3.0,3.0,0.0,0.0,22.0,0.0,0.03,0.0,0.0,3.0,5.0,60.0,38.0,9.0,2.0,100.0,2.0,50.0,0.0,0.0,0.1,-0.1,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,6.0,2.0,8.0,1.0,0.0,100.0,6.0,32.0,6.0,0.0,1.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Bart Ramselaar,27,nl NED,"FW,MF",Utrecht,11.0,4.5,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,16.0,23.0,31.0,0.22,0.22,0.12,0.07,0.12,30.0,2.24,0.67,0.1,0.33,17.7,0.0,0.06,0.4,0.4,113.0,147.0,76.9,1721.0,359.0,72.0,84.7,53.0,81.1,6.0,83.3,0.3,0.7,7.0,11.0,5.0,0.0,143.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,3.0,7.0,3.14,13.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,5.0,3.0,3.0,0.0,192.0,6.0,24.0,82.0,90.0,16.0,192.0,10.0,20.0,70.0,120.0,814.0,451.0,9.0,4.0,7.0,1.0,133.0,1.0,3.0,0.0,0.0,0.0,0.0,19.0,1.0,4.0,20.0
Gyan de Regt,20,nl NED,"FW,MF",Vitesse,26.0,13.2,1.0,1.0,0.0,3.0,0.0,2.4,2.4,2.2,4.7,33.0,21.0,88.0,0.08,0.08,0.18,0.17,0.18,30.4,1.75,0.53,0.04,0.14,16.1,0.0,0.11,-1.4,-1.4,206.0,336.0,61.3,3122.0,764.0,147.0,76.9,109.0,63.3,36.0,36.1,1.2,-1.2,16.0,9.0,10.0,2.0,324.0,10.0,0.0,0.0,2.0,30.0,8.0,0.0,0.0,0.0,2.0,19.0,2.58,25.0,0.0,2.0,4.0,3.0,0.0,18.0,14.0,7.0,7.0,4.0,11.0,31.0,35.5,12.0,6.0,6.0,1.0,502.0,9.0,76.0,177.0,259.0,49.0,502.0,43.0,34.9,53.5,302.0,1796.0,771.0,22.0,14.0,42.0,9.0,327.0,23.0,14.0,6.0,0.0,0.0,0.0,50.0,14.0,30.0,31.8
Julian Rijkhoff,18,nl NED,"FW,MF",Ajax,8.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,2.0,2.0,5.0,0.0,0.0,0.39,0.0,0.39,40.0,6.43,2.57,0.0,0.0,18.0,0.0,0.06,-0.3,-0.3,21.0,29.0,72.4,264.0,51.0,17.0,76.5,7.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,41.0,0.0,0.0,16.0,25.0,6.0,41.0,1.0,100.0,0.0,21.0,96.0,55.0,0.0,3.0,3.0,1.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,33.3
Milan Robberechts,19,be BEL,"FW,MF",Fortuna Sittard,10.0,2.4,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,6.0,3.0,21.0,0.41,0.0,0.17,0.04,0.17,33.3,2.49,0.83,0.17,0.5,19.0,0.0,0.07,0.6,0.6,43.0,53.0,81.1,587.0,69.0,31.0,87.1,13.0,84.6,3.0,66.7,0.1,-0.1,2.0,2.0,1.0,1.0,51.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,2.9,4.0,1.0,1.0,0.0,1.0,0.0,7.0,3.0,2.0,2.0,3.0,2.0,5.0,40.0,2.0,2.0,2.0,0.0,101.0,1.0,10.0,38.0,55.0,8.0,101.0,15.0,6.7,73.3,55.0,306.0,150.0,3.0,1.0,7.0,1.0,55.0,4.0,10.0,0.0,0.0,0.0,0.0,11.0,4.0,6.0,40.0
Thomas Robinet,26,fr FRA,"FW,MF",Almere City,33.0,31.7,11.0,3.0,3.0,4.0,1.0,11.5,9.1,2.7,11.8,21.0,79.0,157.0,0.35,0.09,0.36,0.09,0.29,20.3,2.18,0.44,0.12,0.57,15.3,0.0,0.13,-0.5,-1.1,496.0,824.0,60.2,6716.0,1723.0,416.0,71.9,226.0,58.4,57.0,45.6,2.4,0.3,22.0,44.0,16.0,3.0,804.0,17.0,0.0,1.0,0.0,22.0,3.0,0.0,0.0,0.0,3.0,30.0,1.51,38.0,0.0,1.0,7.0,2.0,0.0,39.0,18.0,13.0,15.0,11.0,19.0,39.0,48.7,31.0,11.0,44.0,0.0,1206.0,49.0,137.0,520.0,557.0,133.0,1203.0,28.0,53.6,35.7,538.0,2152.0,572.0,22.0,5.0,70.0,49.0,793.0,24.0,29.0,11.0,0.0,1.0,0.0,116.0,149.0,175.0,46.0
Ole Romeny,23,nl NED,"FW,MF",Utrecht,15.0,5.8,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2,1.7,17.0,14.0,46.0,0.17,0.0,0.26,0.04,0.26,45.5,1.91,0.87,0.09,0.2,11.6,0.0,0.14,-0.5,-0.5,119.0,156.0,76.3,1834.0,353.0,75.0,85.3,50.0,76.0,18.0,55.6,0.2,-0.2,4.0,8.0,2.0,0.0,147.0,8.0,1.0,0.0,1.0,10.0,6.0,0.0,0.0,0.0,1.0,2.0,2.79,10.0,0.0,1.0,0.0,4.0,1.0,6.0,3.0,5.0,0.0,1.0,4.0,6.0,66.7,3.0,3.0,2.0,0.0,217.0,3.0,23.0,93.0,105.0,21.0,217.0,14.0,35.7,50.0,141.0,1024.0,503.0,16.0,6.0,14.0,12.0,167.0,3.0,18.0,5.0,0.0,0.0,0.0,21.0,4.0,9.0,30.8
Kaj de Rooij,22,nl NED,"FW,MF",Zwolle,5.0,1.8,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.9,4.0,5.0,15.0,0.0,0.0,0.17,0.29,0.17,0.0,1.09,0.0,0.0,0.0,9.3,0.0,0.16,-0.3,-0.3,47.0,74.0,63.5,653.0,146.0,41.0,75.6,21.0,57.1,3.0,66.7,0.3,-0.5,2.0,2.0,1.0,1.0,70.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,3.82,7.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,3.0,0.0,4.0,4.0,100.0,2.0,0.0,2.0,0.0,103.0,4.0,12.0,51.0,42.0,8.0,103.0,4.0,25.0,75.0,50.0,335.0,157.0,2.0,2.0,6.0,3.0,66.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,8.0,7.0,53.3
Daan Rots,22,nl NED,FW,Twente,33.0,28.6,7.0,10.0,0.0,3.0,0.0,4.6,4.6,5.4,10.0,84.0,173.0,318.0,0.24,0.35,0.16,0.19,0.16,31.4,1.78,0.56,0.14,0.44,16.4,0.0,0.09,2.4,2.4,816.0,1165.0,70.0,13147.0,4878.0,529.0,78.8,410.0,75.4,117.0,55.6,7.4,4.6,50.0,92.0,75.0,9.0,1118.0,41.0,2.0,8.0,6.0,76.0,35.0,2.0,1.0,1.0,6.0,54.0,3.99,88.0,2.0,11.0,8.0,5.0,0.0,59.0,38.0,20.0,24.0,15.0,35.0,85.0,41.2,30.0,17.0,20.0,0.0,1577.0,20.0,154.0,611.0,830.0,133.0,1577.0,142.0,35.2,56.3,962.0,5729.0,2554.0,48.0,37.0,72.0,56.0,1178.0,23.0,33.0,4.0,0.0,0.0,0.0,142.0,40.0,71.0,36.0
Ibrahim Sadiq,23,gh GHA,"FW,MF",AZ Alkmaar,16.0,7.3,2.0,3.0,0.0,3.0,0.0,1.7,1.7,0.9,2.6,12.0,20.0,56.0,0.27,0.41,0.23,0.13,0.23,50.0,1.91,0.96,0.14,0.29,21.5,0.0,0.12,0.3,0.3,177.0,234.0,75.6,2781.0,592.0,119.0,83.2,77.0,81.8,21.0,57.1,0.8,2.1,7.0,8.0,10.0,0.0,225.0,9.0,1.0,1.0,3.0,13.0,6.0,2.0,1.0,1.0,0.0,7.0,2.59,14.0,0.0,2.0,3.0,0.0,0.0,16.0,12.0,7.0,7.0,2.0,8.0,10.0,80.0,14.0,4.0,7.0,0.0,346.0,5.0,60.0,133.0,157.0,29.0,346.0,20.0,35.0,60.0,208.0,904.0,324.0,7.0,9.0,28.0,15.0,235.0,12.0,12.0,3.0,0.0,0.0,0.0,35.0,8.0,16.0,33.3
