player,age,nationality,position,team,games,minutes_90s,goals,assists,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,npxg_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,G-xg,npG-npxg,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_short,passes_pct_short,passes_medium,passes_pct_medium,passes_long,passes_pct_long,pass_xa,A-xa,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,passes_offsides,passes_blocked,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,blocks,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Andrea Ferraris,20,it ITA,MF,Monza,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,60.0,9.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,3.0,11.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Michael Folorunsho,25,it ITA,"MF,FW",Hellas Verona,34.0,30.9,5.0,1.0,0.0,5.0,0.0,4.0,3.9,1.4,5.3,56.0,54.0,110.0,0.16,0.03,0.13,0.04,0.13,29.8,1.52,0.45,0.11,0.36,19.8,0.0,0.08,1.0,1.1,486.0,796.0,61.1,8352.0,2187.0,328.0,72.0,268.0,65.7,116.0,47.4,1.1,-0.4,18.0,43.0,10.0,6.0,768.0,25.0,14.0,1.0,12.0,64.0,11.0,0.0,0.0,0.0,3.0,32.0,1.49,34.0,0.0,4.0,1.0,7.0,0.0,50.0,28.0,21.0,22.0,7.0,23.0,57.0,40.4,45.0,17.0,44.0,2.0,1200.0,63.0,233.0,606.0,384.0,57.0,1200.0,70.0,31.4,60.0,662.0,3947.0,1714.0,41.0,8.0,62.0,38.0,730.0,50.0,74.0,11.0,1.0,0.0,0.0,145.0,75.0,78.0,49.0
Davide Frattesi,23,it ITA,MF,Inter,32.0,10.6,6.0,3.0,0.0,1.0,0.0,7.1,7.1,1.9,9.0,27.0,37.0,40.0,0.57,0.28,0.67,0.18,0.67,40.6,3.02,1.23,0.19,0.46,11.4,0.0,0.22,-1.1,-1.1,235.0,301.0,78.1,3468.0,1047.0,147.0,85.7,103.0,79.6,18.0,77.8,2.0,1.1,10.0,18.0,13.0,1.0,293.0,7.0,6.0,2.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,7.0,2.45,21.0,0.0,0.0,3.0,2.0,0.0,10.0,6.0,3.0,7.0,0.0,4.0,8.0,50.0,9.0,5.0,19.0,0.0,428.0,28.0,96.0,194.0,140.0,56.0,428.0,21.0,33.3,61.9,250.0,1689.0,781.0,17.0,10.0,17.0,16.0,301.0,12.0,16.0,1.0,1.0,0.0,0.0,38.0,14.0,15.0,48.3
Morten Frendrup,22,dk DEN,MF,Genoa,37.0,34.9,2.0,5.0,0.0,6.0,0.0,1.7,1.7,1.6,3.3,36.0,105.0,69.0,0.06,0.14,0.05,0.05,0.05,13.3,0.86,0.11,0.07,0.5,20.5,0.0,0.06,0.3,0.3,979.0,1224.0,80.0,14254.0,3493.0,625.0,87.7,401.0,83.0,83.0,54.2,1.4,3.4,13.0,69.0,14.0,1.0,1181.0,41.0,10.0,1.0,4.0,12.0,22.0,0.0,0.0,0.0,2.0,38.0,1.69,44.0,0.0,1.0,4.0,6.0,4.0,133.0,72.0,47.0,70.0,16.0,55.0,91.0,60.4,55.0,51.0,42.0,1.0,1651.0,70.0,404.0,922.0,345.0,36.0,1651.0,25.0,64.0,32.0,762.0,3773.0,1611.0,20.0,4.0,55.0,14.0,870.0,49.0,35.0,1.0,0.0,1.0,0.0,197.0,31.0,29.0,51.7
Remo Freuler,31,ch SUI,MF,Bologna,32.0,29.2,1.0,1.0,0.0,9.0,0.0,1.2,1.2,1.1,2.3,37.0,165.0,48.0,0.03,0.03,0.04,0.04,0.04,28.6,0.48,0.14,0.07,0.25,17.4,0.0,0.09,-0.2,-0.2,1710.0,1890.0,90.5,25295.0,6603.0,1009.0,94.1,696.0,93.8,86.0,58.1,1.3,-0.1,19.0,133.0,15.0,0.0,1789.0,97.0,87.0,1.0,4.0,9.0,10.0,0.0,0.0,0.0,4.0,22.0,1.92,50.0,2.0,1.0,1.0,1.0,1.0,78.0,50.0,41.0,32.0,5.0,38.0,69.0,55.1,37.0,36.0,53.0,2.0,2178.0,81.0,525.0,1304.0,361.0,33.0,2178.0,12.0,66.7,25.0,1177.0,5516.0,2531.0,28.0,5.0,27.0,16.0,1564.0,44.0,15.0,0.0,0.0,1.0,0.0,137.0,20.0,27.0,42.6
Roberto Gagliardini,29,it ITA,"MF,DF",Monza,33.0,26.2,1.0,2.0,0.0,5.0,0.0,2.9,2.9,1.7,4.6,38.0,120.0,36.0,0.04,0.08,0.11,0.06,0.11,25.0,1.37,0.34,0.03,0.11,17.8,1.0,0.08,-1.9,-1.9,1339.0,1487.0,90.0,23611.0,5656.0,607.0,92.8,690.0,93.9,135.0,74.8,2.0,0.3,20.0,114.0,10.0,1.0,1427.0,57.0,45.0,2.0,13.0,8.0,8.0,3.0,0.0,0.0,3.0,11.0,1.94,45.0,2.0,0.0,1.0,3.0,0.0,61.0,30.0,27.0,25.0,9.0,31.0,50.0,62.0,30.0,31.0,38.0,0.0,1761.0,94.0,439.0,1034.0,310.0,42.0,1761.0,17.0,47.1,41.2,1045.0,5931.0,2950.0,36.0,2.0,28.0,14.0,1222.0,26.0,21.0,1.0,0.0,1.0,0.0,140.0,46.0,36.0,56.1
Pablo Galdames Millán,26,cl CHI,"MF,DF",Genoa,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.25,0.0,0.25,100.0,8.18,8.18,0.0,0.0,14.1,0.0,0.03,0.0,0.0,21.0,23.0,91.3,411.0,173.0,8.0,87.5,12.0,100.0,3.0,66.7,0.0,0.0,0.0,6.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,1.0,19.0,6.0,1.0,26.0,0.0,0.0,0.0,9.0,47.0,24.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
Luca Garritano,29,it ITA,"MF,DF",Frosinone,12.0,5.4,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.3,1.0,6.0,23.0,23.0,0.0,0.0,0.13,0.06,0.13,25.0,2.23,0.56,0.0,0.0,18.9,1.0,0.06,-0.7,-0.7,147.0,220.0,66.8,2219.0,804.0,96.0,85.4,66.0,65.2,32.0,37.5,0.4,-0.3,4.0,19.0,3.0,1.0,203.0,17.0,4.0,0.0,2.0,16.0,5.0,8.0,3.0,3.0,0.0,10.0,2.78,10.0,3.0,0.0,0.0,2.0,0.0,10.0,5.0,7.0,2.0,1.0,5.0,15.0,33.3,13.0,4.0,8.0,1.0,283.0,13.0,75.0,119.0,91.0,12.0,283.0,5.0,0.0,100.0,141.0,736.0,310.0,2.0,1.0,8.0,2.0,173.0,6.0,7.0,0.0,0.0,0.0,0.0,34.0,3.0,7.0,30.0
Francesco Gelli,26,it ITA,"MF,DF",Frosinone,27.0,17.3,0.0,0.0,0.0,3.0,0.0,0.7,0.7,2.4,3.1,42.0,61.0,87.0,0.0,0.0,0.04,0.14,0.04,30.0,0.58,0.17,0.0,0.0,18.3,0.0,0.07,-0.7,-0.7,604.0,743.0,81.3,8504.0,2316.0,412.0,91.7,217.0,81.1,66.0,42.4,2.5,-2.4,25.0,40.0,18.0,3.0,612.0,129.0,32.0,2.0,0.0,53.0,52.0,43.0,18.0,5.0,2.0,18.0,2.77,27.0,14.0,1.0,1.0,4.0,1.0,19.0,13.0,8.0,4.0,7.0,10.0,24.0,41.7,19.0,11.0,27.0,1.0,914.0,32.0,181.0,426.0,319.0,24.0,914.0,42.0,31.0,47.6,508.0,2902.0,1400.0,25.0,10.0,34.0,14.0,586.0,15.0,40.0,1.0,0.0,0.0,0.0,82.0,15.0,16.0,48.4
Gvidas Gineitis,19,lt LTU,MF,Torino,14.0,6.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,9.0,25.0,12.0,0.0,0.0,0.07,0.08,0.07,22.2,1.51,0.33,0.0,0.0,26.8,3.0,0.05,-0.4,-0.4,227.0,284.0,79.9,3884.0,876.0,113.0,82.3,103.0,93.2,43.0,51.2,1.0,-0.5,8.0,18.0,4.0,1.0,256.0,27.0,12.0,0.0,2.0,22.0,0.0,15.0,10.0,4.0,1.0,7.0,2.68,9.0,5.0,1.0,1.0,0.0,0.0,11.0,7.0,3.0,8.0,0.0,4.0,7.0,57.1,10.0,4.0,9.0,1.0,344.0,14.0,63.0,193.0,91.0,5.0,344.0,7.0,42.9,57.1,177.0,1007.0,393.0,5.0,0.0,4.0,1.0,187.0,9.0,3.0,0.0,0.0,0.0,0.0,37.0,7.0,5.0,58.3
