player,age,nationality,position,team,games,minutes_90s,goals,assists,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,npxg_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,G-xg,npG-npxg,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_short,passes_pct_short,passes_medium,passes_pct_medium,passes_long,passes_pct_long,pass_xa,A-xa,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,passes_offsides,passes_blocked,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,blocks,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Matt Butcher,26,eng ENG,MF,Plymouth Argyle,15.0,3.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,17.0,11.0,0.0,0.0,0.01,0.02,0.01,0.0,0.26,0.0,0.0,0.0,22.5,0.0,0.02,0.0,0.0,130.0,167.0,77.8,2160.0,561.0,79.0,81.0,62.0,90.3,17.0,47.1,0.2,-0.1,3.0,15.0,4.0,0.0,158.0,7.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,3.0,2.36,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,25.0,9.0,4.0,8.0,1.0,205.0,16.0,57.0,104.0,45.0,5.0,205.0,3.0,33.3,66.7,90.0,310.0,129.0,1.0,0.0,4.0,1.0,134.0,4.0,2.0,0.0,0.0,0.0,1.0,16.0,4.0,5.0,44.4
George Byers,27,sct SCO,MF,Sheffield Weds,22.0,15.3,1.0,1.0,0.0,1.0,1.0,1.9,1.9,0.9,2.8,14.0,51.0,24.0,0.07,0.07,0.12,0.06,0.12,26.7,0.98,0.26,0.07,0.25,16.0,0.0,0.13,-0.9,-0.9,463.0,583.0,79.4,7535.0,2274.0,258.0,87.2,226.0,81.9,60.0,56.7,0.9,0.1,9.0,45.0,8.0,4.0,543.0,39.0,20.0,4.0,3.0,20.0,6.0,4.0,1.0,2.0,1.0,11.0,1.57,18.0,2.0,0.0,1.0,1.0,2.0,28.0,13.0,9.0,17.0,2.0,11.0,35.0,31.4,26.0,30.0,38.0,1.0,763.0,53.0,212.0,414.0,140.0,19.0,763.0,13.0,38.5,61.5,313.0,1244.0,559.0,7.0,2.0,19.0,7.0,418.0,23.0,10.0,1.0,0.0,0.0,0.0,70.0,19.0,14.0,57.6
Cafú,30,pt POR,MF,Rotherham Utd,32.0,20.0,2.0,3.0,1.0,7.0,1.0,2.3,1.5,1.6,3.1,23.0,56.0,42.0,0.1,0.15,0.11,0.08,0.07,13.6,1.1,0.15,0.05,0.33,25.3,8.0,0.07,-0.3,-0.5,534.0,720.0,74.2,8687.0,2228.0,328.0,88.4,197.0,74.6,134.0,48.5,2.5,1.4,30.0,45.0,13.0,3.0,611.0,106.0,44.0,3.0,6.0,90.0,4.0,46.0,28.0,14.0,3.0,18.0,2.76,30.0,18.0,0.0,4.0,3.0,0.0,15.0,10.0,3.0,9.0,3.0,7.0,12.0,58.3,11.0,15.0,8.0,0.0,860.0,16.0,93.0,454.0,329.0,19.0,859.0,22.0,40.9,50.0,479.0,2215.0,885.0,22.0,2.0,25.0,23.0,551.0,10.0,27.0,1.0,0.0,0.0,0.0,103.0,6.0,12.0,33.3
Allan Campbell,25,sct SCO,MF,Millwall,12.0,8.0,0.0,2.0,0.0,1.0,0.0,0.4,0.4,0.3,0.7,1.0,22.0,16.0,0.0,0.25,0.05,0.04,0.05,14.3,0.87,0.12,0.0,0.0,19.8,0.0,0.05,-0.4,-0.4,209.0,259.0,80.7,3064.0,686.0,139.0,82.7,92.0,83.7,12.0,58.3,0.6,1.7,7.0,15.0,7.0,2.0,250.0,8.0,5.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,2.11,16.0,0.0,1.0,0.0,0.0,0.0,20.0,12.0,5.0,13.0,2.0,11.0,21.0,52.4,16.0,10.0,6.0,0.0,341.0,10.0,57.0,191.0,94.0,11.0,341.0,7.0,57.1,42.9,148.0,542.0,184.0,1.0,2.0,9.0,6.0,192.0,15.0,8.0,0.0,0.0,0.0,0.0,28.0,7.0,11.0,38.9
Cesare Casadei,20,it ITA,MF,Leicester City,22.0,9.8,2.0,0.0,0.0,1.0,0.0,2.9,2.9,0.7,3.7,15.0,49.0,53.0,0.2,0.0,0.3,0.07,0.3,35.0,2.04,0.71,0.1,0.29,15.2,0.0,0.15,-0.9,-0.9,342.0,418.0,81.8,5101.0,1085.0,206.0,89.3,173.0,82.7,20.0,45.0,0.3,-0.7,12.0,44.0,4.0,0.0,415.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,2.96,24.0,0.0,2.0,2.0,1.0,0.0,17.0,12.0,9.0,7.0,1.0,8.0,18.0,44.4,9.0,8.0,12.0,0.0,522.0,16.0,101.0,271.0,154.0,27.0,522.0,19.0,52.6,42.1,278.0,1442.0,623.0,12.0,3.0,13.0,14.0,391.0,15.0,18.0,0.0,0.0,0.0,0.0,36.0,27.0,13.0,67.5
Giorgi Chakvetadze,23,ge GEO,"MF,FW",Watford,34.0,17.8,1.0,4.0,0.0,7.0,0.0,1.5,1.5,4.1,5.7,89.0,103.0,125.0,0.06,0.22,0.09,0.23,0.09,35.7,1.57,0.56,0.04,0.1,22.7,1.0,0.05,-0.5,-0.5,636.0,814.0,78.1,10205.0,2398.0,384.0,89.3,268.0,77.6,106.0,53.8,3.5,-0.1,56.0,60.0,20.0,4.0,729.0,81.0,17.0,4.0,10.0,84.0,17.0,47.0,22.0,20.0,4.0,14.0,5.49,71.0,20.0,4.0,1.0,2.0,0.0,28.0,22.0,15.0,11.0,2.0,10.0,33.0,30.3,17.0,12.0,5.0,0.0,1001.0,4.0,115.0,459.0,446.0,56.0,1001.0,64.0,57.8,40.6,627.0,5228.0,2816.0,58.0,26.0,38.0,18.0,706.0,28.0,23.0,0.0,0.0,1.0,0.0,86.0,4.0,12.0,25.0
Nathaniel Chalobah,28,eng ENG,MF,West Brom,33.0,10.0,0.0,1.0,0.0,4.0,0.0,0.6,0.6,1.1,1.7,7.0,49.0,24.0,0.0,0.1,0.06,0.11,0.06,36.4,1.1,0.4,0.0,0.0,19.6,0.0,0.06,-0.6,-0.6,393.0,466.0,84.3,6731.0,1852.0,192.0,91.1,205.0,86.8,44.0,63.6,1.5,-0.1,8.0,36.0,7.0,1.0,452.0,13.0,12.0,3.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,6.0,2.49,17.0,0.0,1.0,3.0,2.0,2.0,19.0,12.0,9.0,7.0,3.0,11.0,14.0,78.6,10.0,10.0,15.0,0.0,570.0,26.0,132.0,330.0,117.0,16.0,570.0,15.0,40.0,40.0,315.0,1428.0,692.0,7.0,0.0,17.0,15.0,396.0,19.0,16.0,1.0,0.0,0.0,0.0,58.0,14.0,15.0,48.3
Conor Chaplin,26,eng ENG,MF,Ipswich Town,44.0,37.1,13.0,8.0,0.0,7.0,0.0,12.0,12.0,5.4,17.4,42.0,207.0,186.0,0.35,0.22,0.32,0.15,0.32,29.0,3.72,1.08,0.09,0.33,18.7,5.0,0.09,1.0,1.0,886.0,1235.0,71.7,15234.0,4839.0,516.0,80.4,443.0,77.0,166.0,54.8,5.2,2.6,53.0,136.0,52.0,5.0,1131.0,94.0,8.0,17.0,12.0,22.0,12.0,0.0,0.0,0.0,10.0,43.0,3.67,105.0,3.0,3.0,17.0,6.0,2.0,37.0,22.0,12.0,20.0,5.0,17.0,51.0,33.3,24.0,27.0,35.0,0.0,1627.0,29.0,187.0,815.0,632.0,147.0,1627.0,37.0,40.5,45.9,830.0,3814.0,1559.0,29.0,12.0,61.0,30.0,1115.0,30.0,47.0,8.0,0.0,0.0,0.0,137.0,17.0,41.0,29.3
Shea Charles,19,nir NIR,"MF,DF",Southampton,32.0,16.0,0.0,0.0,0.0,7.0,1.0,1.1,1.1,0.7,1.8,25.0,95.0,32.0,0.0,0.0,0.07,0.04,0.07,20.0,0.63,0.13,0.0,0.0,14.1,0.0,0.11,-1.1,-1.1,1132.0,1273.0,88.9,17396.0,3798.0,644.0,93.2,497.0,91.8,79.0,63.3,1.1,-0.7,15.0,106.0,10.0,0.0,1245.0,26.0,17.0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,2.0,15.0,1.94,26.0,1.0,1.0,1.0,1.0,1.0,34.0,18.0,18.0,10.0,6.0,18.0,36.0,50.0,23.0,22.0,25.0,2.0,1436.0,52.0,329.0,864.0,248.0,21.0,1436.0,19.0,36.8,57.9,830.0,3596.0,1660.0,24.0,1.0,23.0,13.0,1103.0,31.0,18.0,0.0,0.0,0.0,0.0,95.0,25.0,30.0,45.5
Jack Clarke,22,eng ENG,"MF,FW",Sunderland,40.0,38.8,15.0,4.0,5.0,6.0,0.0,11.4,7.5,9.1,16.6,306.0,180.0,414.0,0.39,0.1,0.29,0.23,0.19,38.3,2.75,1.06,0.09,0.24,18.6,6.0,0.07,3.6,2.5,1237.0,1692.0,73.1,23041.0,5262.0,623.0,81.9,685.0,80.0,254.0,61.0,9.8,-5.1,91.0,90.0,66.0,9.0,1517.0,166.0,45.0,9.0,22.0,129.0,58.0,63.0,28.0,3.0,9.0,65.0,5.41,128.0,10.0,35.0,13.0,21.0,3.0,60.0,45.0,26.0,24.0,10.0,24.0,62.0,38.7,31.0,20.0,11.0,1.0,2249.0,13.0,188.0,894.0,1224.0,300.0,2244.0,276.0,53.6,36.2,1550.0,14920.0,8189.0,137.0,176.0,98.0,60.0,1678.0,58.0,95.0,13.0,4.0,0.0,0.0,160.0,17.0,33.0,34.0
