player,age,nationality,position,team,top5,minutes_90s,gk_goals_against,gk_saves_per90,gk_clean_sheets,gk_pens_save_pct,gk_free_kick_goals_against_perGame,gk_corner_kick_goals_against_perGame,gk_own_goals_against_perGame,gk_psnpxg_per_shot_on_target_against,xg_saved_per90,gk_passes_pct_launched,gk_passes_per90,gk_passes_throws_per90,gk_passes_length_avg,gk_goal_kicks_per90,gk_goal_kick_length_avg,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Noah Atubolu,21,de GER,GK,Freiburg,True,34.0,1.1511695576835996,-0.17201506312795825,0.32859678517152224,1.3536826586525648,0.4896057593368686,-0.2286751169768343,-0.33435492847768783,0.568031513433601,-1.0726129759946568,-0.31488111344990505,0.630738536209145,0.2937560701654553,0.2557892949234497,0.5791480534031725,0.9741543066596552,0.11744223042633038,-0.40736945255451434,-0.23755384307067803
Oliver Baumann,33,de GER,GK,Hoffenheim,True,34.0,1.6513031482877103,1.754345612617225,-1.48794299931012,2.401858270452161,2.7199225164803646,1.1569954808116771,-0.33435492847768783,0.8608833159149242,0.6829158453863687,0.6078496231992923,0.680453843428379,0.4558527636909206,-0.028966542035476855,0.7377081771242108,0.32893771134501076,-0.1589725264031776,1.9415020836619625,1.0393424494288195
Janis Blaswich,32,de GER,GK,RB Leipzig,True,21.0,-0.5992980094307877,-1.2456901150855002,-0.10372887539359461,-0.7426685649466277,-0.6255526192348795,1.965303329521642,-1.090402824093682,-0.017672091529043508,-1.1274732516628139,0.1725992757232556,1.4571748120613546,-0.2218657930488839,-1.3578271145104681,0.10252387197981398,-1.250730504770152,0.11744223042633038,1.2201950764773752,1.4100542762835133
Koen Casteels,31,be BEL,GK,Wolfsburg,True,25.0,-0.036647720001163175,0.13795388196922154,-0.7066687698603019,-0.7426685649466277,-0.6255526192348795,-1.018507357716286,0.9660474519818223,0.568031513433601,-0.08512801396782989,0.9560499011801217,0.2735114559720277,0.3093173527438996,0.40765907463487666,0.1423149125517126,0.718292553345227,0.5518082768726998,0.77631384128686,0.6274404195902719
Finn Dahmen,25,de GER,GK,Augsburg,True,31.0,0.7760693647305167,0.5835589555844122,-1.1945791582123624,0.4208063641509241,-0.6255526192348795,1.8386560168205415,0.5680248179026923,-0.6033756964916897,-0.03026773829967285,0.3118793869155881,1.1477194142132667,-1.6221222687935997,-0.08591770942726298,-0.13245443732874493,0.26219116700211637,-0.11948470399896233,0.9427693044833034,0.3391089987032888
Péter Gulácsi,33,hu HUN,GK,RB Leipzig,True,13.0,-1.912148684766578,-0.7276960272852225,1.027265933049077,-0.7426685649466277,2.2910154477989235,-1.0547479733507545,0.886953210594303,-0.8962274989730128,1.012077499395311,-1.394301975190476,-0.14871404271060074,0.024426179384681206,-1.4717294492940385,0.830709788152897,-1.0838641439129162,-0.8302655072748398,-0.03746842322908476,0.133157983784015
Lukáš Hrádecký,33,fi FIN,GK,Leverkusen,True,33.0,-0.9743982023838706,-0.9879322914911035,1.566900998647321,-0.7426685649466277,-0.6255526192348795,-0.5331027483091588,-1.090402824093682,-0.3105238940103666,0.6829158453863687,-0.12337096056044862,-1.1305255156899048,0.6179494572163868,-0.9971363876958275,-1.2364854845085649,-0.8280023905984887,0.9861743233190693,0.14748209143362973,0.9569620434611104
Gregor Kobel,25,ch SUI,GK,Dortmund,True,26.3,-0.3492312141287323,0.24798217027206723,0.05993726753462823,0.1325580709060351,-0.6255526192348795,1.965303329521642,-0.13834251109576345,-0.017672091529043508,0.8474966723908399,0.6600796648964175,1.3201195470652836,-0.4507793130237567,-0.9022177753761853,0.03029188369769647,-0.38302542831252734,-1.6595097777633634,-0.8327556362787583,-0.6906460758930804
Kevin Müller,32,de GER,GK,Heidenheim,True,34.0,0.9636194612070581,0.791165274744633,-0.579287102015223,-0.08755880757188005,-0.6255526192348795,0.46416018191742126,1.177740862754301,-0.3105238940103666,0.3537541913774265,1.043099970675329,0.703051710346213,0.5206914411011077,0.5785125768102324,2.065649213287907,0.46243080003079945,-0.5143629280411165,-1.1101814082728303,-0.40231465500609725
Manuel Neuer,37,de GER,GK,Bayern Munich,True,22.8,-0.4117479129542462,-0.6543733184580918,0.07228942926506016,1.0025438286997,1.0229423751755307,-1.448667708508024,-1.090402824093682,0.27517971095227794,-0.8531718733220286,1.7569105405360295,0.6925060391178903,0.42457094564214626,-0.9781526652318994,-1.33052782264056,-1.7735784354561566,-0.8697533296790553,0.5543732236916021,1.368864073299658
Moritz Nicolas,25,de GER,GK,Gladbach,True,27.0,0.5885192682539752,1.6132737449490164,-0.7985379727303892,-0.7426685649466277,-0.6255526192348795,0.6566144316102701,-1.090402824093682,-0.6033756964916897,-0.6885910463175575,-0.036320891065241286,0.49615568434293394,0.8220712194336401,-0.5984782159533306,-0.17915105679975568,0.061951533973434066,-0.5933385728495474,-0.5368348128184146,-0.40231465500609725
Alexander Nübel,26,de GER,GK,Stuttgart,True,30.0,-0.22419781647770468,-0.8345663864524374,0.8890761236898701,-0.7426685649466277,-0.6255526192348795,0.0022699826545841116,1.4801600210006984,-0.3105238940103666,-0.3045691166404581,1.304250179160951,1.0920363262251929,-0.043405052367513505,-0.788315440592615,-1.6816550439859643,-1.028242023627171,1.0651499681275005,1.4791257970051759,1.2864836673319486
Manuel Riemann,34,de GER,GK,Bochum,True,33.0,1.9013699435897657,0.7261572354116348,-1.0062086918232758,0.21117124179100483,-0.6255526192348795,1.2514730215699845,1.246472489628482,-0.3105238940103666,-1.1274732516628139,0.9560499011801217,2.417750460717605,-1.9205830038127274,1.8314382594295096,0.050013701137132015,0.5514261924879914,0.31488134244740745,3.79100723028911,2.3162387419283177
Frederik Rønnow,30,dk DEN,GK,Union Berlin,True,33.0,1.026136160032572,0.2299734249924208,-0.30445150351311295,0.756222559926795,1.6723494941856925,0.5376427136183274,-0.31144438618629405,-0.017672091529043508,-0.4691499436449293,0.3292894008146298,0.545825339305769,0.9185651433908869,0.1418869601398788,0.2542199210808938,0.6070483127737366,1.5390038369780852,0.0365117826360012,-0.5258852639576611
Marcel Schuhen,30,de GER,GK,Darmstadt 98,True,31.0,2.276470136542849,1.3998613533708606,-1.1945791582123624,1.877770464552363,1.8206012434386325,0.698830202510637,0.5680248179026923,1.7394387233588935,-0.9628924246583427,0.6600796648964175,1.4104378412193084,1.5779801969349527,0.36969162970701924,2.084829873415451,0.7294169774023761,-0.31692381602003944,1.016749510348389,0.9569620434611104
Marvin Schwäbe,28,de GER,GK,Köln,True,34.0,1.2762029553346272,0.2220132569108291,-1.0340010557167476,-0.7426685649466277,-0.6255526192348795,1.5034131302588052,-1.090402824093682,2.325142328321538,0.40861446704558346,0.08554920622804825,0.630738536209145,-1.618984913435042,-0.27575493406654733,-1.244293369388767,-0.8502512387127871,-1.3041193761254248,-0.8882407906775727,-0.3199342490383873
Kevin Trapp,33,de GER,GK,Eint Frankfurt,True,32.0,0.5260025694284614,-0.4593273798229072,-0.25272682626692944,0.21117124179100483,-0.6255526192348795,-0.4884883540621803,-1.090402824093682,-0.017672091529043508,0.1343130887047983,-1.3072519056952685,-0.0005893708078381103,-0.1742981323893276,-0.579494493489402,0.26698280982737865,-0.6388871816269548,-1.027704619295917,-0.29639914375688564,0.42148940467099805
