player,age,nationality,position,team,gk_games,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_clean_sheets,gk_pens_saved,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,xg_saved,xg_saved_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Andreas Jungdal,21,dk DEN,GK,Cremonese,18.0,18.0,13.0,0.72,62.0,49.0,80.6,10.0,0.0,0.0,2.0,2.0,0.0,15.8,0.24,2.8,0.15,62.0,176.0,35.2,535.0,105.0,26.5,30.5,83.0,41.0,38.5,19.0,8.2,0.83,11.1
Elhan Kastrati,26,al ALB,GK,Cittadella,35.0,35.0,44.0,1.26,145.0,102.0,73.1,10.0,0.0,0.0,1.0,4.0,1.0,39.1,0.24,-3.9,-0.11,189.0,436.0,43.3,744.0,139.0,40.6,36.1,235.0,57.0,43.5,32.0,6.7,0.77,13.5
Eugenio Lamanna,33,it ITA,GK,Calcio Lecco 1912,3.0,3.0,3.0,1.0,14.0,11.0,85.7,0.0,0.0,0.0,0.0,1.0,0.0,3.6,0.19,0.6,0.2,16.0,40.0,40.0,83.0,16.0,31.3,32.8,17.0,82.4,50.8,4.0,9.1,1.0,11.3
Luca Lezzerini,28,it ITA,GK,Brescia,25.0,25.0,25.0,1.0,90.0,63.0,73.3,7.0,2.0,66.7,0.0,6.0,0.0,23.9,0.23,-1.1,-0.04,115.0,265.0,43.4,554.0,93.0,30.5,30.5,206.0,46.6,37.6,19.0,4.5,0.6,11.5
Leonardo Loria,24,it ITA,GK,Pisa,7.0,7.0,12.0,1.71,26.0,14.0,57.7,2.0,0.0,0.0,1.0,1.0,0.0,10.5,0.37,-1.5,-0.22,21.0,54.0,38.9,176.0,30.0,23.9,27.1,27.0,44.4,37.1,7.0,7.5,0.71,13.2
Luca Maniero,28,it ITA,GK,Cittadella,3.0,3.0,3.0,1.0,14.0,11.0,78.6,1.0,0.0,0.0,0.0,1.0,0.0,3.9,0.28,0.9,0.3,17.0,36.0,47.2,55.0,10.0,41.8,31.2,19.0,68.4,48.9,0.0,0.0,0.0,12.0
Leonardo Marson,25,it ITA,GK,Cosenza,2.0,1.4,1.0,0.73,6.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.17,1.0,0.74,5.0,23.0,21.7,38.0,4.0,52.6,38.0,14.0,21.4,25.1,1.0,2.7,0.73,9.2
Riccardo Melgrati,29,it ITA,GK,Calcio Lecco 1912,23.0,22.5,50.0,2.22,129.0,79.0,65.1,2.0,0.0,0.0,1.0,12.0,0.0,40.6,0.28,-9.4,-0.42,134.0,329.0,40.7,575.0,84.0,40.0,35.9,191.0,51.8,41.9,9.0,2.8,0.71,12.9
Alessandro Micai,30,it ITA,GK,Cosenza,37.0,36.6,41.0,1.12,149.0,107.0,73.8,10.0,2.0,50.0,2.0,5.0,1.0,43.0,0.26,3.0,0.08,208.0,577.0,36.0,1199.0,153.0,41.9,37.9,169.0,44.4,39.9,40.0,6.8,0.96,13.7
Mirko Pigliacelli,30,it ITA,GK,Palermo,36.0,36.0,51.0,1.42,153.0,102.0,68.0,9.0,1.0,33.3,1.0,7.0,1.0,45.3,0.28,-4.7,-0.13,174.0,410.0,42.4,1123.0,117.0,29.0,31.3,212.0,39.6,35.1,26.0,4.5,1.17,15.0
Marco Pissardo,25,it ITA,GK,Bari,6.0,5.3,9.0,1.68,22.0,13.0,59.1,1.0,0.0,0.0,1.0,0.0,0.0,6.3,0.29,-2.7,-0.5,16.0,50.0,32.0,103.0,40.0,24.3,29.7,45.0,55.6,40.9,9.0,13.4,0.56,10.2
Semuel Pizzignacco,21,it ITA,GK,FeralpiSalò,38.0,38.0,65.0,1.71,167.0,102.0,65.9,4.0,1.0,11.1,0.0,13.0,1.0,53.1,0.27,-10.9,-0.29,273.0,705.0,38.7,913.0,127.0,49.3,38.0,328.0,77.7,52.6,26.0,4.3,0.58,13.1
Giacomo Poluzzi,35,it ITA,GK,Südtirol,37.0,37.0,47.0,1.27,133.0,86.0,68.4,10.0,1.0,16.7,0.0,12.0,1.0,42.7,0.28,-3.3,-0.09,300.0,716.0,41.9,961.0,136.0,52.8,39.8,320.0,65.3,45.8,49.0,8.0,0.65,12.0
Nicola Ravaglia,34,it ITA,GK,Sampdoria,1.0,1.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.55,1.1,1.06,6.0,22.0,27.3,34.0,5.0,47.1,37.2,13.0,46.2,36.2,0.0,0.0,0.0,12.0
Andrea Sala,29,it ITA,GK,Catanzaro,1.0,1.0,3.0,3.0,9.0,6.0,77.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.45,2.0,1.96,1.0,6.0,16.7,43.0,2.0,11.6,22.8,4.0,25.0,24.5,0.0,0.0,3.0,15.7
Umberto Saracco,29,it ITA,GK,Calcio Lecco 1912,13.0,12.5,21.0,1.68,54.0,33.0,63.0,4.0,0.0,0.0,0.0,4.0,0.0,13.6,0.25,-7.4,-0.6,87.0,202.0,43.1,316.0,68.0,37.7,34.3,135.0,61.5,46.1,10.0,5.0,0.48,12.0
Gianluca Saro,23,it ITA,GK,Cremonese,8.0,8.0,7.0,0.87,30.0,23.0,76.7,3.0,0.0,0.0,0.0,1.0,0.0,7.4,0.25,0.4,0.05,26.0,70.0,37.1,231.0,40.0,24.7,30.5,42.0,31.0,34.1,7.0,7.2,0.38,9.7
Mouhamadou Sarr,26,sn SEN,GK,Cremonese,12.0,12.0,12.0,1.0,45.0,33.0,75.6,3.0,1.0,50.0,0.0,1.0,1.0,11.5,0.23,0.5,0.04,35.0,109.0,32.1,289.0,78.0,30.1,32.3,59.0,37.3,34.2,21.0,11.8,0.17,9.8
Giacomo Satalino,24,it ITA,GK,Reggiana,9.0,8.8,11.0,1.24,39.0,28.0,74.4,3.0,0.0,0.0,0.0,0.0,0.0,10.3,0.24,-0.7,-0.08,45.0,122.0,36.9,170.0,47.0,37.6,32.6,82.0,70.7,49.3,20.0,12.1,0.57,10.8
Andrea Seculin,33,it ITA,GK,Modena,17.0,16.5,23.0,1.39,63.0,39.0,68.3,3.0,1.0,25.0,0.0,5.0,0.0,22.0,0.29,-1.0,-0.06,73.0,194.0,37.6,502.0,37.0,31.5,32.0,77.0,46.8,37.3,8.0,3.5,0.61,13.2
Adrian Šemper,25,hr CRO,GK,Como,38.0,37.8,40.0,1.06,125.0,86.0,70.4,12.0,0.0,0.0,0.0,4.0,1.0,36.2,0.27,-2.8,-0.07,149.0,386.0,38.6,938.0,124.0,33.2,32.0,164.0,45.7,37.7,44.0,8.0,0.74,12.5
Filip Stankovic,21,rs SRB,GK,Sampdoria,37.0,37.0,49.0,1.32,149.0,99.0,71.1,8.0,1.0,14.3,1.0,3.0,0.0,46.4,0.27,-2.6,-0.07,124.0,409.0,30.3,1089.0,148.0,29.1,30.6,232.0,39.7,35.0,42.0,7.2,0.73,13.3
Filippo Vandelli,22,it ITA,GK,Modena,1.0,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.1,1.4,0.0,3.0,0.0,2.0,0.0,100.0,62.0,1.0,100.0,61.0,1.0,14.3,0.0,5.0
Mauro Vigorito,33,it ITA,GK,Como,1.0,0.2,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.17,0.2,0.71,0.0,1.0,0.0,7.0,1.0,14.3,21.3,1.0,0.0,20.0,1.0,50.0,0.0,9.0
Tommaso Vitali,23,it ITA,GK,Ternana,6.0,6.0,6.0,1.0,30.0,24.0,83.3,3.0,0.0,0.0,0.0,1.0,0.0,8.8,0.27,2.8,0.47,42.0,121.0,34.7,150.0,26.0,56.0,41.9,52.0,71.2,52.1,10.0,8.7,0.83,13.0
Emiliano Viviano,37,it ITA,GK,Ascoli,27.0,26.5,32.0,1.21,92.0,61.0,71.7,8.0,1.0,14.3,1.0,4.0,2.0,31.4,0.27,1.4,0.05,220.0,489.0,45.0,593.0,47.0,61.7,44.0,150.0,82.0,53.3,30.0,7.3,0.64,11.7
Jeroen Zoet,32,nl NED,GK,Spezia,25.0,25.0,29.0,1.16,100.0,71.0,74.0,7.0,1.0,25.0,1.0,5.0,1.0,28.6,0.25,0.6,0.02,127.0,343.0,37.0,511.0,90.0,44.0,37.3,198.0,59.6,45.4,21.0,5.7,0.92,14.1
Devis Vásquez,25,co COL,GK,Sheffield Weds/Ascoli,19.0,18.2,24.0,1.3,70.0,46.0,65.7,6.0,0.0,0.0,0.0,4.0,0.0,24.8,0.3,0.7999999999999998,0.0,115.0,313.0,36.7,515.0,73.0,41.3,36.0,171.0,58.5,46.0,17.0,6.7,0.9,15.0
Daniel Schmidt,31,jp JPN,GK,Sint-Truiden/Gent,12.0,12.0,20.0,1.7,50.0,30.0,60.0,3.0,0.0,0.0,0.0,4.0,0.0,17.6,0.3,-2.4,-0.2,61.0,143.0,42.7,349.0,68.0,32.4,33.3,60.0,50.0,40.7,12.0,7.2,1.0,13.9
