"player","age","nationality","position","team","top5","minutes_90s","Creativo","Fulcro_di_Gioco","Lunga_Gittata","Incontrista","Cinico"
"Andrej Kramarić",32,"hr CRO","MF,FW","Hoffenheim","True",24.4,1.61413126396174,1.32682489590474,1.79639327032782,-1.86507770983718,0.807549934647991
"Tom Krauß",22,"de GER","MF","Mainz 05","True",15,-0.566126150572338,-0.585469377998887,-0.871912899426688,2.65959083937666,-0.94100917682088
"Aïssa Laïdouni",26,"tn TUN","MF","Union Berlin","True",11.9,-0.0364879297741921,0.00811326349761785,-0.356162842447872,-0.0988233362014962,-0.599141986468343
"Hugo Larsson",19,"se SWE","MF","Eint Frankfurt","True",21,-0.772193922307058,-1.10498277012584,-0.579311835127429,-0.337586310942648,1.18150682178922
"Dejan Ljubicic",25,"at AUT","MF,FW","Köln","True",22.8,0.0223480629350352,-0.229888361048475,-0.493792866815606,-0.103876653185242,-0.522294250163782
"Anthony Losilla",37,"fr FRA","MF","Bochum","True",28.6,-0.769737245895365,-0.61634932827523,-1.20863802154628,0.108775749521043,-0.204477921111311
"Senne Lynen",24,"be BEL","MF","Werder Bremen","True",20,-1.21868973018975,-1.01594215159235,-0.465174343912654,1.92885814217852,-1.34052683171281
"Arne Maier",24,"de GER","MF","Augsburg","True",11.1,0.851285376566659,1.107435816312,2.98400490637847,-0.78412490399797,0.116334668582786
"Lennard Maloney",23,"us USA","MF","Heidenheim","True",25.4,-1.37480209323663,-1.42602323621132,-0.591213373039235,0.159612993863958,-0.166929554110573
"Eric Martel",21,"de GER","MF","Köln","True",27.3,-0.923320264329787,-0.98662679394829,-0.886987231032084,1.07802400780047,-0.1789552325053
"Marvin Mehlem",25,"de GER","MF","Darmstadt 98","True",16.5,0.519322000332059,-0.443281750087664,-0.305379331918396,-0.182794984631062,1.01121546447871
"Enzo Millot",21,"fr FRA","MF,FW","Stuttgart","True",24.9,1.36105572626805,0.380170360737661,0.0837594610160954,-0.450176058109946,0.8894343562715
"Thomas Müller",33,"de GER","MF,FW","Bayern Munich","True",18.4,2.30959722106746,1.92613531647931,0.235509925560145,-0.754120755223106,1.58879691174734
"Jamal Musiala",20,"de GER","MF,FW","Bayern Munich","True",19.5,2.6171442710119,1.84189224316685,0.0316182770365001,0.00243390511957489,1.16689355974866
"Florian Neuhaus",26,"de GER","MF","Gladbach","True",13.6,0.227341649736733,1.05240780761684,-0.308818960372409,-0.698305037056851,0.164999942431794
"Felix Nmecha",22,"de GER","MF","Dortmund","True",11.3,0.00736047178202548,-0.00975807674633409,-0.583242606879144,-0.147344749161053,-0.289734128218101
"Dani Olmo",25,"es ESP","MF","RB Leipzig","True",16.1,1.31590111503487,0.937451379599163,-0.0104057651364638,-0.657204986830685,0.274174098924712
"Patrick Osterhage",23,"de GER","MF","Bochum","True",20.7,-0.130446309372805,-0.669018653590048,-0.595028518361666,0.206505519717716,-0.161025581232842
"Salih Özcan",25,"tr TUR","MF","Dortmund","True",13.2,-0.693385809176728,-0.606967344227573,-0.531827388574979,-0.0830692640033072,-0.919588534828491
"Exequiel Palacios",24,"ar ARG","MF","Leverkusen","True",20.3,0.00135059975044485,0.721198572298968,-0.294200855840649,1.14778999129139,-0.010121974638662
"Marvin Pieringer",23,"de GER","MF,FW","Heidenheim","True",16.8,0.457210678136614,-0.674651183418455,-1.03182548714814,-0.832351108946057,0.589088224803302
"Grischa Prömel",28,"de GER","MF","Hoffenheim","True",23.8,-0.115665022799108,-0.555821621454339,-0.550943811515652,-0.627596475071946,0.991399137649957
"Rocco Reitz",21,"de GER","MF","Gladbach","True",23.7,-0.0931079013240294,0.195833194394224,-0.494394514461942,1.22512942453981,0.809471916859873
"Marco Reus",34,"de GER","MF,FW","Dortmund","True",17.8,0.908654538630649,0.42135102313369,0.475525891814994,-0.416041469584926,1.45677182765729
"Elvis Rexhbeçaj",25,"de GER","MF","Augsburg","True",22.1,-0.514464071948379,-0.536520900368342,-0.651915619406004,-0.384055966223014,-0.859333742274284
"Merlin Röhl",21,"de GER","MF,FW","Freiburg","True",16.4,0.796968660127985,-0.404099155525625,-0.514884942196795,-0.544374880342548,0.485062350937564
"Marcel Sabitzer",29,"at AUT","MF","Dortmund","True",21.8,0.0641512406796801,0.160162605120275,0.188355343094637,-0.194209791639544,-0.0507515822966871
"Roland Sallai",26,"hu HUN","MF,FW","Freiburg","True",20.4,1.54965622982071,-0.311159422059393,0.0321257075995825,-1.33574260702964,1.17426412394554
"András Schäfer",24,"hu HUN","MF","Union Berlin","True",13.5,0.527214805831331,0.0502589708371422,-0.641549401885848,0.271024543952084,0.0554120056361971
"Xaver Schlager",25,"at AUT","MF","RB Leipzig","True",27.5,-0.624311421582291,1.1745532760835,-0.588948900979865,0.891310608459873,-1.17600943345472
"Romano Schmid",23,"at AUT","MF,FW","Werder Bremen","True",28.9,1.04630185455843,0.957211296117358,0.145936678291365,-0.61883874274789,0.768445088075093
"Jan Schöppner",24,"de GER","MF","Heidenheim","True",22.2,-0.861439641649055,-0.57720298631858,-0.888575679665773,0.304194739508758,0.197054360537556
"Kevin Sessa",23,"de GER","MF,FW","Heidenheim","True",11.2,0.66756927437729,0.26321034438296,0.182796140728993,-0.378352332737322,0.300273761025962
"Xavi Simons",20,"nl NED","MF","RB Leipzig","True",29.5,2.02844620075255,2.22614734426661,1.19836249723392,-1.08543737791283,0.498364246716241
"Tim Skarke",26,"de GER","FW,DF","Darmstadt 98","True",26.7,1.0203801362311,-0.546855203169225,-0.0323667630363071,-1.15267552284895,-0.36231452062044
"Ellyes Skhiri",28,"tn TUN","MF","Eint Frankfurt","True",24.1,-0.899013389391947,-0.573390552918263,-0.594588658170602,0.0197308280450032,0.652283981403766
"Jens Stage",26,"dk DEN","MF","Werder Bremen","True",25.9,-0.453124792666118,-0.455726796861207,-0.842084799108242,0.290343757959237,0.458622095040425
"Kevin Stöger",29,"at AUT","MF","Bochum","True",29.6,1.15722002913085,3.31766079557808,2.72891447694079,0.0896881990478828,-0.526114219015733
"Mattias Svanberg",24,"se SWE","MF","Wolfsburg","True",19.1,0.0182895998867747,0.0131525104312579,0.335899242216371,0.0927135101026556,-0.232293022612083
"Norman Theuerkauf",36,"de GER","MF,DF","Heidenheim","True",14,-1.16835045909303,-0.662032375839618,-0.0226922340755175,-0.158135025652309,-0.768460615960561
"Jan Thielmann",21,"de GER","FW,DF","Köln","True",17.5,0.472153709119541,-0.54623814637766,-0.475976406117183,-0.328820514051863,-0.00657980138075014
"Umut Tohumcu",18,"de GER","MF","Hoffenheim","True",11.2,-0.248522428698105,-0.20045646801281,-0.325008929852641,-0.483257284100755,-0.977946051133841
"Lucas Tousart",26,"fr FRA","MF","Union Berlin","True",17.5,-0.665872705581765,-1.03613386446078,-0.922972929700877,0.442233710351068,-0.525314127429618
"Ruben Vargas",24,"ch SUI","MF,FW","Augsburg","True",21.8,1.28792122985705,0.0165310509199243,-0.126272781891726,-1.14070337013069,0.46164297930093
"Aster Vranckx",20,"be BEL","MF","Wolfsburg","True",12.8,-1.18845415192541,-1.49412160405589,-0.438340016724893,0.658974142584832,-0.906017804872949
"Luca Waldschmidt",27,"de GER","MF,FW","Köln","True",12.7,0.824837707561424,0.0244865272076111,0.603825981756688,-0.62019261843177,-0.111255471800134
"Julian Weigl",27,"de GER","MF","Gladbach","True",30.7,-1.40889501984028,-0.973882285327293,-0.359845031106091,0.511084306369388,-1.11578493969679
"Florian Wirtz",20,"de GER","MF","Leverkusen","True",26.4,3.19038076235483,3.14040215341247,0.663649745522953,-0.932148890932849,1.05869281790155
"Granit Xhaka",30,"ch SUI","MF","Leverkusen","True",31.3,-0.126217565320214,2.01046600921371,-0.138030123372711,-0.929506565780827,-0.562475240843791
"Ilias Akhomach",19,"ma MAR","MF,FW","Villarreal","True",16.8,1.80890183886923,0.0111428816627893,-0.282482149989942,-0.418311450247138,0.489940003800147
"Rubén Alcaraz",32,"es ESP","MF","Cádiz","True",34.8,-0.978610678667767,-0.593648782602592,-0.00883421895465561,1.42133751690016,-0.935966313023895
"Iván Alejo",28,"es ESP","MF","Cádiz","True",18.8,0.709450250864787,-0.925972369760639,0.205124674043255,0.469691124673467,-0.787539213489861
"Carles Aleñá",25,"es ESP","MF","Getafe","True",11.3,0.550463203331365,-0.940892119181135,0.493011597919062,0.03744670134368,0.0911641302330007
"Sergio Arribas",21,"es ESP","MF,FW","Almería","True",22.7,0.966284325770758,0.110310063319157,0.370309369403261,-0.82938084285714,1.12999174827477
"Iddrisu Baba",27,"gh GHA","MF","Almería","True",15.9,-1.43537147783912,-0.984208503872813,-0.804617986471369,1.0750680427512,-1.20751303156769
"Alex Baena",22,"es ESP","MF,FW","Villarreal","True",28.7,1.38024596520743,2.02325477400254,1.88272340221717,-0.878902779936791,0.917740835356545
"Jonathan Bamba",27,"ci CIV","MF,FW","Celta Vigo","True",22,1.75923492186545,0.401850639419908,-0.308910841793414,-1.45475680296334,0.343466478494452
"Pablo Barrios",20,"es ESP","MF","Atlético Madrid","True",17.3,-0.194974482278988,-0.0712292133437556,-0.590628400100868,0.686026211254312,-0.595289593337346
"Jude Bellingham",20,"eng ENG","MF","Real Madrid","True",25.7,1.38920465697506,1.45023728275741,-0.45583605304081,-0.331566980573672,1.32829299847941
"Fran Beltrán",24,"es ESP","MF","Celta Vigo","True",27,-0.790805633940063,-0.556059498994061,-0.483194059859105,0.269549377359764,-1.21640979053359
"Carlos Benavídez",25,"uy URU","MF","Alavés","True",12.6,-1.17289773475894,-0.501518431648972,-0.535623221430277,2.01914284380936,0.966699667957505
"Antonio Blanco",23,"es ESP","MF","Alavés","True",27,-1.12459303605925,-0.411715066007817,-0.537048450632786,0.85525300540076,-1.22524920385311
"Eduardo Camavinga",20,"fr FRA","MF,DF","Real Madrid","True",20.2,-0.602187668860424,0.157420227089082,-0.479031277917201,1.55690886126829,-0.735075099598822
"Sergi Canós",26,"es ESP","MF,FW","Valencia","True",13.7,1.13470090590977,-0.0157730329739996,-0.483021354098946,-0.321729027249422,0.0242791514183258
"Étienne Capoue",35,"fr FRA","MF","Villarreal","True",16.2,-0.428996444148032,-0.288976028796494,-0.761894348175648,-0.0683287063002387,0.222198219656951
"Pathé Ciss",29,"sn SEN","MF","Rayo Vallecano","True",18.5,-1.08942027026285,-0.548845834125642,-0.801591880598431,0.474926333718307,-0.430411002160574
"Santi Comesaña",26,"es ESP","MF","Villarreal","True",18.4,-0.587614079282925,-0.305021887435132,-0.744308809444324,0.459488292696475,0.837978441001269
"Samu Costa",22,"pt POR","MF","Mallorca","True",25.6,-0.740386206326954,-0.876576573105369,-0.498372272435321,1.99134183487394,-0.652204686619017
"Sergi Darder",29,"es ESP","MF","Mallorca","True",24,0.325270584182884,0.517134003450066,1.42475861536643,-0.650853130744583,-0.00502918229842858
"Rodrigo De Paul",29,"ar ARG","MF","Atlético Madrid","True",23.1,0.164814598620059,1.83897795660151,0.258566991953106,-0.456105843128012,0.183160795319177
"Gonzalo Escalante",30,"ar ARG","MF","Cádiz","True",18.9,-1.00782373321063,-1.02556269803211,-0.615449242510014,0.529457104902487,0.0266473906659951
"Álex Fernández",30,"es ESP","MF","Cádiz","True",14.3,-0.839719635779184,-0.865063452256121,0.276826811708177,-0.456531672066705,-1.14573191390812
"Iñigo Ruiz de Galarreta",29,"es ESP","MF","Athletic Club","True",23.2,-0.559012700005648,0.221015007503153,0.231293877194393,0.155317846533509,-0.470970732794859
"Aleix García",26,"es ESP","MF","Girona","True",35.5,-0.824031598464898,1.40120729875403,1.23440984123403,-0.435011938488133,-0.56523708228834
"Moi Gómez",29,"es ESP","MF,FW","Osasuna","True",22.3,0.0485683052226618,-0.237823975831332,0.120911944072915,-0.852888655687063,0.682758783423076
"Mason Greenwood",21,"eng ENG","MF,FW","Getafe","True",29.6,1.71027870206415,0.0365377853483867,0.617546245501134,-1.99943668938918,0.261956780085683
"Javier Guerra",20,"es ESP","MF","Valencia","True",27.8,-0.237271740613582,-0.697811877739267,-0.609579110569657,0.111278520047913,-0.233609769970557
"Ander Guevara",26,"es ESP","MF","Alavés","True",32.6,-0.786085972591845,-0.157449790819493,-0.446092588566603,0.0390142747638577,-0.691289994235437
