player,age,nationality,position,team,top5,minutes_90s,Spinta = Low,Spinta = Average,Spinta = High,Costruttore = Low,Costruttore = Average,Costruttore = High,Interventista = Low,Interventista = Average,Interventista = High,Lanci_Lunghi = Low,Lanci_Lunghi = Average,Lanci_Lunghi = High,Falloso = Low,Falloso = Average,Falloso = High
Emir Karic,26,at AUT,DF,Darmstadt 98,True,19.8,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False
Christoph Klarer,23,at AUT,DF,Darmstadt 98,True,26.2,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
Lukas Klostermann,27,de GER,DF,RB Leipzig,True,16.0,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False
Robin Knoche,31,de GER,DF,Union Berlin,True,21.3,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False
Robin Koch,27,de GER,DF,Eint Frankfurt,True,30.4,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
Dominik Kohr,29,de GER,"DF,MF",Mainz 05,True,24.3,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
Odilon Kossonou,22,ci CIV,DF,Leverkusen,True,20.1,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
Lukas Kübler,30,de GER,DF,Freiburg,True,20.5,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False
Maxence Lacroix,23,fr FRA,DF,Wolfsburg,True,26.2,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Konrad Laimer,26,at AUT,"DF,MF",Bayern Munich,True,19.7,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
Diogo Leite,24,pt POR,DF,Union Berlin,True,30.0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
Matthijs de Ligt,23,nl NED,DF,Bayern Munich,True,15.4,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
Castello Lukeba,20,fr FRA,DF,RB Leipzig,True,24.3,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False
Matej Maglica,24,hr CRO,DF,Darmstadt 98,True,18.9,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
Patrick Mainka,28,de GER,DF,Heidenheim,True,34.0,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
Jordy Makengo,21,fr FRA,DF,Freiburg,True,11.4,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
Erhan Mašović,24,rs SRB,"DF,MF",Bochum,True,24.7,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
Philipp Max,29,de GER,DF,Eint Frankfurt,True,15.0,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False
Kevin Mbabu,28,ch SUI,DF,Augsburg,True,22.7,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
Kim Min-jae,26,kr KOR,DF,Bayern Munich,True,21.9,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False
Maximilian Mittelstädt,26,de GER,DF,Stuttgart,True,23.4,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
Phillipp Mwene,29,at AUT,DF,Mainz 05,True,22.2,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Joakim Mæhle,26,dk DEN,"DF,MF",Wolfsburg,True,27.2,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
Luca Netz,20,de GER,DF,Gladbach,True,24.7,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False
Niels Nkounkou,22,fr FRA,"DF,MF",Eint Frankfurt,True,14.5,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
Fabian Nürnberger,24,de GER,"DF,MF",Darmstadt 98,True,16.8,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
Ivan Ordets,31,ua UKR,DF,Bochum,True,20.9,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
Willian Pacho,21,ec ECU,DF,Eint Frankfurt,True,33.0,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Mads Pedersen,26,dk DEN,DF,Augsburg,True,19.8,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
David Raum,25,de GER,DF,RB Leipzig,True,30.4,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False
Anthony Rouault,22,fr FRA,DF,Stuttgart,True,11.2,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
Julian Ryerson,25,no NOR,DF,Dortmund,True,19.6,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
Joe Scally,20,us USA,DF,Gladbach,True,24.8,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
Keven Schlotterbeck,26,de GER,DF,Bochum,True,24.3,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
Nico Schlotterbeck,23,de GER,DF,Dortmund,True,31.8,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False
Benno Schmitz,28,de GER,DF,Köln,True,12.8,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False
Kiliann Sildillia,21,fr FRA,DF,Freiburg,True,20.1,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
Mohamed Simakan,23,fr FRA,DF,RB Leipzig,True,23.8,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
Robert Skov,27,dk DEN,"DF,FW",Hoffenheim,True,14.0,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False
Josip Stanišić,23,hr CRO,DF,Leverkusen,True,14.0,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False
Pascal Stenzel,27,de GER,DF,Stuttgart,True,11.8,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
Niklas Süle,27,de GER,DF,Dortmund,True,16.8,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False
Jonathan Tah,27,de GER,DF,Leverkusen,True,29.2,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True
Edmond Tapsoba,24,bf BFA,DF,Leverkusen,True,23.2,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False
Omar Traoré,25,de GER,DF,Heidenheim,True,27.5,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Christopher Trimmel,36,at AUT,DF,Union Berlin,True,18.3,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
Tuta,24,br BRA,DF,Eint Frankfurt,True,28.9,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Dayot Upamecano,24,fr FRA,DF,Bayern Munich,True,19.6,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False
Miloš Veljković,27,rs SRB,DF,Werder Bremen,True,21.3,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
Mitchell Weiser,29,de GER,"DF,MF",Werder Bremen,True,29.3,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Silvan Widmer,30,ch SUI,DF,Mainz 05,True,13.8,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Maximilian Wittek,27,de GER,"DF,FW",Bochum,True,11.9,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
Maximilian Wöber,25,at AUT,DF,Gladbach,True,23.0,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Marius Wolf,28,de GER,DF,Dortmund,True,13.0,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False
Cedric Zesiger,25,ch SUI,DF,Wolfsburg,True,18.2,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Abner,23,br BRA,DF,Betis,True,15.6,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False
Abdel Abqar,24,ma MAR,DF,Alavés,True,25.7,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
Marcos Acuña,31,ar ARG,DF,Sevilla,True,14.4,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False
Raúl Albiol,37,es ESP,DF,Villarreal,True,22.6,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
Omar Alderete,26,py PAR,DF,Getafe,True,24.4,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
Gastón Álvarez,23,uy URU,DF,Getafe,True,28.2,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True
Julian Araujo,21,mx MEX,DF,Las Palmas,True,16.2,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
Ronald Araújo,24,uy URU,DF,Barcelona,True,22.2,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True
Jesús Areso,24,es ESP,DF,Osasuna,True,29.6,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
César Azpilicueta,33,es ESP,DF,Atlético Madrid,True,15.8,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
Loïc Bade,23,fr FRA,DF,Sevilla,True,25.3,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
Iván Balliu,31,al ALB,DF,Rayo Vallecano,True,31.9,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Héctor Bellerín,28,es ESP,DF,Betis,True,19.0,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Yuri Berchiche,33,es ESP,DF,Athletic Club,True,21.4,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
Daley Blind,33,nl NED,DF,Girona,True,33.0,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
Juan Brandáriz,24,es ESP,DF,Almería,True,27.0,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
João Cancelo,29,pt POR,DF,Barcelona,True,27.8,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False
Isaac Carcelen,30,es ESP,DF,Cádiz,True,29.0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
Sergi Cardona,24,es ESP,DF,Las Palmas,True,31.3,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
Carmona,21,es ESP,"DF,MF",Getafe,True,14.6,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True
Dani Carvajal,31,es ESP,DF,Real Madrid,True,24.1,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False
Catena,28,es ESP,DF,Osasuna,True,28.2,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
Pep Chavarría,25,es ESP,"DF,MF",Rayo Vallecano,True,13.0,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
Andreas Christensen,27,dk DEN,"DF,MF",Barcelona,True,22.0,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
Víctor Chust,23,es ESP,DF,Cádiz,True,20.7,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
Saúl Coco,24,gq EQG,DF,Las Palmas,True,25.5,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False
Thierry Correia,24,pt POR,DF,Valencia,True,23.9,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
Jaume Costa,35,es ESP,DF,Mallorca,True,18.7,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Yan Couto,21,br BRA,"DF,FW",Girona,True,24.9,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
Juan Cruz Armada,31,es ESP,DF,Osasuna,True,18.5,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Jorge Cuenca,23,es ESP,DF,Villarreal,True,21.8,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
Djené,31,tg TOG,"DF,MF",Getafe,True,27.6,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
Carlos Dominguez,22,es ESP,DF,Celta Vigo,True,17.6,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Rubén Duarte,27,es ESP,DF,Alavés,True,20.9,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
Alfonso Espino,31,uy URU,DF,Rayo Vallecano,True,27.9,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
Fali,29,es ESP,DF,Cádiz,True,28.3,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
Kiko Femenía,32,es ESP,DF,Villarreal,True,17.6,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
Dimitri Foulquier,30,fr FRA,"DF,MF",Valencia,True,20.5,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
David García,29,es ESP,DF,Osasuna,True,25.9,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
Fran Garcia,23,es ESP,DF,Real Madrid,True,15.5,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False
Édgar González,26,es ESP,"DF,MF",Almería,True,28.0,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
Giovanni González,28,uy URU,DF,Mallorca,True,27.4,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
Andoni Gorosabel,26,es ESP,DF,Alavés,True,31.7,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
Nemanja Gudelj,31,rs SRB,"DF,MF",Sevilla,True,19.4,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
Miguel Gutiérrez,22,es ESP,DF,Girona,True,33.7,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
Mario Hermoso,28,es ESP,DF,Atlético Madrid,True,28.4,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
Javi Hernández,25,es ESP,DF,Cádiz,True,27.9,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
Iglesias,25,es ESP,"DF,FW",Getafe,True,15.7,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
Jules Koundé,24,fr FRA,DF,Barcelona,True,32.2,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
Toni Lato,25,es ESP,DF,Mallorca,True,17.2,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False
Robin Le Normand,26,es ESP,DF,Real Sociedad,True,27.4,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Florian Lejeune,32,fr FRA,DF,Rayo Vallecano,True,37.0,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
Iñigo Lekue,30,es ESP,DF,Athletic Club,True,22.2,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
Samuel Lino,23,br BRA,"DF,MF",Atlético Madrid,True,23.1,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
David López,33,es ESP,DF,Girona,True,21.8,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
Javi López,21,es ESP,DF,Alavés,True,26.5,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
Lucas,22,br BRA,DF,Cádiz,True,17.1,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
José Luis Gayà,28,es ESP,DF,Valencia,True,19.9,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
Pablo Maffeo,26,es ESP,DF,Mallorca,True,16.2,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False
Óscar de Marcos,34,es ESP,DF,Athletic Club,True,25.1,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
José María Giménez,28,uy URU,DF,Atlético Madrid,True,14.7,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
Rafa Marín,21,es ESP,DF,Alavés,True,27.1,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
Mika Màrmol,21,es ESP,DF,Las Palmas,True,35.3,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Arnau Martinez,20,es ESP,DF,Girona,True,13.8,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False
Iñigo Martínez,32,es ESP,DF,Barcelona,True,14.4,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False
Ferland Mendy,28,fr FRA,DF,Real Madrid,True,19.1,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False
Óscar Mingueza,24,es ESP,"DF,MF",Celta Vigo,True,33.3,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False
Ignasi Miquel,30,es ESP,DF,Granada,True,33.2,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
Juan Miranda,23,es ESP,DF,Betis,True,20.6,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
Johan Mojica,30,co COL,DF,Osasuna,True,22.7,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
Nahuel Molina,25,ar ARG,DF,Atlético Madrid,True,20.6,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False
César Montes,26,mx MEX,DF,Almería,True,19.9,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
Alberto Moreno,31,es ESP,DF,Villarreal,True,16.5,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Cristhian Mosquera,19,co COL,DF,Valencia,True,34.2,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
Abdul Mumin,25,gh GHA,DF,Rayo Vallecano,True,18.8,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
Aihen Muñoz,25,es ESP,DF,Real Sociedad,True,12.5,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
Nacho,33,es ESP,DF,Real Madrid,True,19.4,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
Matija Nastasić,30,rs SRB,DF,Mallorca,True,25.1,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
Jesús Navas,37,es ESP,DF,Sevilla,True,22.3,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False
Carlos Neva,27,es ESP,DF,Granada,True,35.0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False
Unai Núñez,26,es ESP,DF,Celta Vigo,True,31.1,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
Cenk Özkacar,22,tr TUR,DF,Valencia,True,17.8,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Jon Pacheco,22,es ESP,DF,Real Sociedad,True,17.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
Aitor Paredes,23,es ESP,DF,Athletic Club,True,30.0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
Adrià Pedrosa,25,es ESP,DF,Sevilla,True,19.5,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
Rubén Peña,32,es ESP,"DF,FW",Osasuna,True,23.2,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Germán Pezzella,32,ar ARG,DF,Betis,True,30.7,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
Alejandro Pozo Pozo,24,es ESP,"DF,MF",Almería,True,10.8,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Pubill,20,es ESP,DF,Almería,True,20.9,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False
Antonio Raillo,31,es ESP,DF,Mallorca,True,24.4,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
Sergio Ramos,37,es ESP,DF,Sevilla,True,28.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
Chadi Riad,20,ma MAR,DF,Betis,True,24.0,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
Diego Rico,30,es ESP,DF,Getafe,True,28.2,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False
Rodrigo Riquelme,23,es ESP,"DF,MF",Atlético Madrid,True,17.0,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
Antonio Rüdiger,30,de GER,DF,Real Madrid,True,30.1,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
Kike Salas,21,es ESP,DF,Sevilla,True,17.8,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
Ricard Sánchez,23,es ESP,DF,Granada,True,25.5,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
Juanlu Sánchez,19,es ESP,DF,Sevilla,True,13.1,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
Manu Sánchez,22,es ESP,"DF,MF",Celta Vigo,True,19.7,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
