player,age,nationality,position,team,games,minutes_90s,goals,assists,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,npxg_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,G-xg,npG-npxg,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_short,passes_pct_short,passes_medium,passes_pct_medium,passes_long,passes_pct_long,pass_xa,A-xa,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,passes_offsides,passes_blocked,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,blocks,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Federico Barba,29,it ITA,DF,Como,32.0,29.0,3.0,0.0,0.0,2.0,1.0,1.6,1.6,0.4,2.1,16.0,78.0,6.0,0.1,0.0,0.06,0.01,0.06,30.8,0.45,0.14,0.23,0.75,14.9,0.0,0.13,1.4,1.4,1360.0,1596.0,85.2,24138.0,8177.0,601.0,90.5,776.0,90.3,175.0,54.3,1.0,-0.4,6.0,62.0,5.0,1.0,1459.0,134.0,96.0,0.0,9.0,2.0,14.0,0.0,0.0,0.0,3.0,11.0,0.69,17.0,1.0,0.0,0.0,1.0,1.0,27.0,19.0,16.0,10.0,1.0,10.0,17.0,58.8,19.0,32.0,109.0,1.0,1828.0,190.0,882.0,865.0,96.0,24.0,1828.0,7.0,71.4,14.3,977.0,4524.0,2429.0,15.0,1.0,14.0,3.0,1102.0,39.0,25.0,0.0,0.0,0.0,0.0,150.0,49.0,37.0,57.0
Tommaso Barbieri,20,it ITA,DF,Pisa,31.0,22.9,3.0,2.0,0.0,8.0,1.0,2.0,2.0,1.6,3.6,56.0,93.0,120.0,0.13,0.09,0.09,0.07,0.09,32.4,1.48,0.48,0.09,0.27,20.5,0.0,0.06,1.0,1.0,840.0,1121.0,74.9,14474.0,4876.0,465.0,85.2,459.0,80.6,125.0,49.6,1.6,0.4,22.0,72.0,25.0,11.0,911.0,208.0,20.0,1.0,2.0,101.0,188.0,0.0,0.0,0.0,2.0,48.0,2.7,41.0,3.0,3.0,5.0,10.0,0.0,49.0,28.0,21.0,18.0,10.0,18.0,38.0,47.4,33.0,30.0,44.0,1.0,1430.0,49.0,395.0,604.0,452.0,51.0,1430.0,53.0,30.2,54.7,715.0,4297.0,2177.0,41.0,9.0,48.0,16.0,817.0,41.0,63.0,3.0,1.0,1.0,0.0,108.0,14.0,21.0,40.0
Antonio Barreca,28,it ITA,"DF,FW",Sampdoria,22.0,14.4,0.0,1.0,0.0,3.0,0.0,0.6,0.6,2.2,2.8,22.0,33.0,67.0,0.0,0.07,0.04,0.15,0.04,8.3,0.84,0.07,0.0,0.0,20.6,0.0,0.05,-0.6,-0.6,448.0,640.0,70.0,7335.0,2559.0,270.0,90.0,218.0,72.5,109.0,33.9,1.7,-1.2,16.0,27.0,8.0,2.0,487.0,150.0,31.0,0.0,1.0,78.0,92.0,27.0,7.0,16.0,3.0,27.0,1.81,13.0,9.0,1.0,2.0,1.0,0.0,14.0,8.0,6.0,6.0,2.0,11.0,18.0,61.1,16.0,6.0,32.0,0.0,772.0,38.0,210.0,339.0,233.0,13.0,772.0,21.0,28.6,61.9,355.0,1861.0,1004.0,16.0,4.0,22.0,4.0,441.0,13.0,12.0,6.0,0.0,0.0,0.0,53.0,17.0,8.0,68.0
Simone Bastoni,26,it ITA,DF,Spezia,2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,4.0,5.0,0.0,0.0,0.02,0.04,0.02,0.0,0.87,0.0,0.0,0.0,30.8,0.0,0.02,0.0,0.0,60.0,82.0,73.2,903.0,384.0,38.0,92.1,26.0,69.2,12.0,41.7,0.1,0.0,1.0,2.0,1.0,1.0,62.0,20.0,2.0,0.0,0.0,3.0,16.0,2.0,0.0,2.0,0.0,1.0,0.87,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,1.0,0.0,2.0,2.0,100.0,1.0,1.0,0.0,0.0,103.0,3.0,31.0,46.0,27.0,1.0,103.0,3.0,66.7,33.3,48.0,282.0,136.0,4.0,1.0,2.0,1.0,55.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
Matteo Battistini,29,it ITA,DF,Calcio Lecco 1912,13.0,7.8,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.5,5.0,21.0,3.0,0.0,0.0,0.03,0.03,0.03,12.5,1.02,0.13,0.0,0.0,16.2,0.0,0.03,-0.2,-0.2,206.0,291.0,70.8,4349.0,1768.0,80.0,80.0,120.0,83.3,83.0,48.2,0.1,-0.2,5.0,16.0,1.0,1.0,277.0,13.0,8.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,5.0,1.28,8.0,0.0,0.0,2.0,0.0,0.0,17.0,9.0,12.0,3.0,2.0,5.0,11.0,45.5,9.0,14.0,37.0,1.0,385.0,44.0,210.0,145.0,34.0,7.0,385.0,2.0,50.0,50.0,172.0,930.0,465.0,3.0,1.0,6.0,0.0,190.0,12.0,2.0,0.0,0.0,0.0,0.0,43.0,16.0,21.0,43.2
Brian Bayeye,23,cd COD,DF,Ascoli,19.0,12.3,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,0.9,21.0,40.0,50.0,0.0,0.0,0.03,0.05,0.03,0.0,0.32,0.0,0.0,0.0,19.5,0.0,0.08,-0.3,-0.3,384.0,549.0,69.9,6062.0,2679.0,242.0,83.9,211.0,71.1,69.0,34.8,0.8,-0.6,7.0,38.0,15.0,12.0,425.0,122.0,2.0,1.0,0.0,44.0,120.0,0.0,0.0,0.0,2.0,13.0,1.94,19.0,3.0,1.0,0.0,1.0,0.0,22.0,16.0,12.0,8.0,2.0,17.0,25.0,68.0,10.0,13.0,22.0,0.0,686.0,35.0,173.0,298.0,229.0,8.0,686.0,27.0,37.0,63.0,315.0,1892.0,984.0,19.0,2.0,24.0,12.0,333.0,9.0,14.0,1.0,0.0,0.0,0.0,94.0,9.0,13.0,40.9
Giuseppe Bellusci,33,it ITA,DF,Ascoli,30.0,28.8,2.0,1.0,0.0,14.0,3.0,0.6,0.6,0.6,1.2,22.0,111.0,9.0,0.07,0.03,0.02,0.02,0.02,31.6,0.66,0.21,0.11,0.33,33.1,2.0,0.03,1.4,1.4,951.0,1370.0,69.4,20173.0,9039.0,353.0,87.8,558.0,81.0,409.0,42.8,0.6,0.4,6.0,110.0,5.0,2.0,1214.0,145.0,105.0,0.0,15.0,24.0,29.0,1.0,0.0,1.0,11.0,14.0,0.94,19.0,3.0,0.0,4.0,0.0,1.0,44.0,28.0,27.0,13.0,4.0,24.0,33.0,72.7,34.0,36.0,110.0,1.0,1643.0,193.0,773.0,767.0,115.0,16.0,1643.0,8.0,50.0,50.0,723.0,3304.0,1931.0,8.0,0.0,5.0,5.0,876.0,41.0,22.0,0.0,0.0,0.0,1.0,136.0,61.0,31.0,66.3
Bartosz Bereszyński,31,pl POL,DF,Sampdoria,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,61.0,82.0,821.0,246.0,26.0,88.5,23.0,95.7,9.0,55.6,0.1,0.0,0.0,3.0,1.0,0.0,50.0,11.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,69.0,4.0,31.0,32.0,7.0,0.0,69.0,3.0,66.7,33.3,34.0,142.0,60.0,1.0,0.0,1.0,1.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
Federico Bergonzi,22,it ITA,DF,FeralpiSalò,33.0,30.0,2.0,1.0,0.0,4.0,0.0,0.7,0.7,0.9,1.7,27.0,118.0,47.0,0.07,0.03,0.02,0.03,0.02,27.3,0.37,0.1,0.18,0.67,19.2,0.0,0.07,1.3,1.3,1151.0,1434.0,80.3,19858.0,8101.0,568.0,90.1,657.0,84.9,164.0,43.3,1.0,0.1,15.0,93.0,15.0,8.0,1215.0,216.0,20.0,1.0,4.0,34.0,196.0,0.0,0.0,0.0,3.0,26.0,1.67,39.0,6.0,2.0,3.0,0.0,0.0,44.0,25.0,33.0,10.0,1.0,18.0,26.0,69.2,34.0,40.0,80.0,0.0,1679.0,107.0,575.0,855.0,261.0,14.0,1679.0,11.0,72.7,27.3,774.0,3570.0,1919.0,15.0,0.0,20.0,6.0,951.0,25.0,12.0,0.0,0.0,0.0,0.0,115.0,18.0,36.0,33.3
Nicolò Bertola,20,it ITA,DF,Spezia,16.0,12.5,1.0,0.0,0.0,5.0,1.0,1.5,1.5,0.3,1.8,6.0,35.0,2.0,0.08,0.0,0.12,0.02,0.12,42.9,0.56,0.24,0.14,0.33,12.8,0.0,0.22,-0.5,-0.5,471.0,565.0,83.4,8150.0,3637.0,228.0,93.0,232.0,90.5,89.0,44.9,0.2,-0.3,6.0,18.0,2.0,0.0,520.0,45.0,27.0,0.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,3.0,0.88,11.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,19.0,6.0,0.0,10.0,19.0,52.6,20.0,20.0,37.0,0.0,698.0,63.0,368.0,311.0,27.0,9.0,698.0,8.0,50.0,12.5,339.0,1702.0,848.0,2.0,1.0,12.0,2.0,402.0,10.0,9.0,1.0,0.0,0.0,0.0,78.0,8.0,20.0,28.6
